line_id,invoice_id,product_id,quantity,unit_price,discount_pct,discount_amount,extended_amount,line_total,unit_standard_cost,line_cost,gross_margin
71,2-20161128-000029,89,1,65.0,0.3,19.5,65.0,45.5,22.14,22.14,23.36
72,2-20161221-000030,85,1,740.5,0.0,0.0,740.5,740.5,376.74,376.74,363.76
73,2-20161221-000030,8,1,32.5,0.0,0.0,32.5,32.5,11.22,11.22,21.28
74,2-20161221-000030,43,1,44.5,0.0,0.0,44.5,44.5,20.92,20.92,23.58
75,2-20161230-000031,61,1,106.0,0.2,21.2,106.0,84.8,49.79,49.79,35.01
76,2-20170126-000032,89,1,65.0,0.0,0.0,65.0,65.0,22.14,22.14,42.86
77,2-20170126-000032,89,1,65.0,0.0,0.0,65.0,65.0,22.14,22.14,42.86
78,2-20170129-000033,77,1,10.0,0.0,0.0,10.0,10.0,3.3,3.3,6.7
79,2-20170129-000033,40,3,278.0,0.0,0.0,834.0,834.0,96.32,288.96,545.04
80,2-20170302-000034,49,4,24.0,0.0,0.0,96.0,96.0,7.86,31.44,64.56
81,2-20170302-000034,64,3,10.0,0.0,0.0,30.0,30.0,3.2,9.6,20.4
82,2-20170310-000035,49,1,24.0,0.1385,3.32,24.0,20.68,7.86,7.86,12.82
83,2-20170310-000035,46,1,17.0,0.1385,2.35,17.0,14.65,5.86,5.86,8.79
84,2-20170312-000036,30,2,21.0,0.1385,5.82,42.0,36.18,6.81,13.62,22.56
85,2-20170312-000036,30,1,21.0,0.1385,2.91,21.0,18.09,6.81,6.81,11.28
86,2-20170318-000037,11,2,16.5,0.1385,4.57,33.0,28.43,5.38,10.76,17.67
87,2-20170424-000038,40,1,280.0,0.0,0.0,280.0,280.0,96.32,96.32,183.68
88,2-20170424-000038,66,1,16.0,0.0,0.0,16.0,16.0,5.27,5.27,10.73
89,2-20170424-000038,61,1,106.5,0.0,0.0,106.5,106.5,49.79,49.79,56.71
90,2-20170503-R000038,40,-1,280.0,0.0,-0.0,-280.0,-280.0,96.32,-96.32,-183.68
91,2-20170513-000039,85,1,749.5,0.0,0.0,749.5,749.5,376.74,376.74,372.76
92,2-20170619-000040,1,1,65.0,0.0,0.0,65.0,65.0,22.3,22.3,42.7
93,2-20170619-000040,79,3,10.5,0.0,0.0,31.5,31.5,3.52,10.56,20.94
94,2-20170619-000040,25,4,72.0,0.0,0.0,288.0,288.0,23.17,92.68,195.32
95,2-20170630-000041,85,1,752.5,0.1973,148.47,752.5,604.03,376.74,376.74,227.29
96,2-20170630-000041,87,1,21.0,0.0,0.0,21.0,21.0,7.17,7.17,13.83
97,2-20170630-000041,22,4,24.5,0.0,0.0,98.0,98.0,7.72,30.88,67.12
98,2-20170703-R000041,22,-4,24.5,0.0,-0.0,-98.0,-98.0,7.72,-30.88,-67.12
99,2-20170703-R000041,85,-1,752.5,0.1973,-148.47,-752.5,-604.03,376.74,-376.74,-227.29
100,2-20170703-R000041,87,-1,21.0,0.0,-0.0,-21.0,-21.0,7.17,-7.17,-13.83
101,2-20170716-000042,64,3,10.0,0.0,0.0,30.0,30.0,3.2,9.6,20.4
102,2-20170716-000042,25,1,72.0,0.0,0.0,72.0,72.0,23.17,23.17,48.83
103,2-20170722-000043,46,1,17.0,0.0,0.0,17.0,17.0,5.86,5.86,11.14
104,2-20170722-000043,11,1,17.0,0.0,0.0,17.0,17.0,5.38,5.38,11.62
105,2-20170914-000044,85,1,757.0,0.0,0.0,757.0,757.0,376.74,376.74,380.26
106,2-20170914-000044,22,1,24.5,0.0,0.0,24.5,24.5,7.72,7.72,16.78
107,2-20170925-000045,77,1,10.5,0.1066,1.12,10.5,9.38,3.3,3.3,6.08
108,2-20170925-000045,49,3,24.5,0.1066,7.84,73.5,65.66,7.86,23.58,42.08
109,2-20171021-000046,30,3,21.5,0.0,0.0,64.5,64.5,6.81,20.43,44.07
110,2-20171029-000047,46,4,17.0,0.0,0.0,68.0,68.0,5.86,23.44,44.56
111,2-20171029-000047,46,1,17.0,0.0,0.0,17.0,17.0,5.86,5.86,11.14
112,2-20171107-000048,40,1,284.5,0.0,0.0,284.5,284.5,96.32,96.32,188.18
113,2-20171108-000049,79,1,10.5,0.0,0.0,10.5,10.5,3.52,3.52,6.98
114,2-20171108-000049,1,1,65.5,0.0,0.0,65.5,65.5,22.3,22.3,43.2
115,2-20171125-000050,85,1,761.5,0.3,228.45,761.5,533.05,376.74,376.74,156.31
116,2-20171201-000051,64,1,10.0,0.0,0.0,10.0,10.0,3.2,3.2,6.8
117,2-20171221-000052,85,1,763.0,0.0,0.0,763.0,763.0,376.74,376.74,386.26
118,2-20171221-000052,78,1,15.5,0.0,0.0,15.5,15.5,5.3,5.3,10.2
119,2-20171229-000053,30,1,21.5,0.2,4.3,21.5,17.2,6.81,6.81,10.39
120,2-20180130-000054,30,1,21.5,0.0,0.0,21.5,21.5,6.81,6.81,14.69
121,2-20180221-000055,22,1,24.5,0.0,0.0,24.5,24.5,7.72,7.72,16.78
122,2-20180227-000056,11,1,17.0,0.0,0.0,17.0,17.0,5.38,5.38,11.62
123,2-20180408-000057,79,3,11.0,0.0,0.0,33.0,33.0,3.52,10.56,22.44
124,2-20180429-000058,79,1,11.0,0.0,0.0,11.0,11.0,3.52,3.52,7.48
125,2-20180429-000058,77,6,10.5,0.0,0.0,63.0,63.0,3.3,19.8,43.2
126,2-20180429-000058,30,1,22.0,0.0,0.0,22.0,22.0,6.81,6.81,15.19
127,2-20180504-000059,79,1,11.0,0.0,0.0,11.0,11.0,3.52,3.52,7.48
128,2-20180504-000059,30,2,22.0,0.0,0.0,44.0,44.0,6.81,13.62,30.38
129,2-20180508-000060,87,3,22.0,0.0,0.0,66.0,66.0,7.17,21.51,44.49
130,2-20180508-000060,77,1,10.5,0.0,0.0,10.5,10.5,3.3,3.3,7.2
131,2-20180522-000061,22,6,25.0,0.0,0.0,150.0,150.0,7.72,46.32,103.68
132,2-20180522-000061,79,2,11.0,0.0,0.0,22.0,22.0,3.52,7.04,14.96
133,2-20180601-000062,85,1,773.0,0.0,0.0,773.0,773.0,376.74,376.74,396.26
134,2-20180601-000062,64,2,10.5,0.0,0.0,21.0,21.0,3.2,6.4,14.6
135,2-20180601-000062,91,2,72.5,0.0,0.0,145.0,145.0,29.81,59.62,85.38
136,2-20180626-R000062,64,-2,10.5,0.0,-0.0,-21.0,-21.0,3.2,-6.4,-14.6
137,2-20180626-R000062,91,-2,72.5,0.0,-0.0,-145.0,-145.0,29.81,-59.62,-85.38
138,2-20180623-000063,66,1,16.5,0.0,0.0,16.5,16.5,5.27,5.27,11.23
139,2-20180723-000064,1,6,67.0,0.0,0.0,402.0,402.0,22.3,133.8,268.2
140,2-20180723-000064,49,1,25.0,0.0,0.0,25.0,25.0,7.86,7.86,17.14
141,2-20180808-000065,89,1,68.0,0.0,0.0,68.0,68.0,22.14,22.14,45.86
142,2-20180816-000066,1,1,67.0,0.0,0.0,67.0,67.0,22.3,22.3,44.7
143,2-20180816-000066,43,1,46.5,0.0,0.0,46.5,46.5,20.92,20.92,25.58
144,2-20180821-000067,46,6,17.5,0.0,0.0,105.0,105.0,5.86,35.16,69.84
145,2-20180902-000068,66,3,16.5,0.0,0.0,49.5,49.5,5.27,15.81,33.69
146,2-20180902-000068,87,1,22.0,0.0,0.0,22.0,22.0,7.17,7.17,14.83
147,2-20180930-000069,89,1,68.5,0.0,0.0,68.5,68.5,22.14,22.14,46.36
148,2-20181013-000070,87,1,22.0,0.0,0.0,22.0,22.0,7.17,7.17,14.83
149,2-20181019-000071,25,2,75.0,0.0,0.0,150.0,150.0,23.17,46.34,103.66
150,2-20181019-000071,64,3,10.5,0.0,0.0,31.5,31.5,3.2,9.6,21.9
151,2-20181019-000071,12,1,76.5,0.0,0.0,76.5,76.5,30.55,30.55,45.95
152,2-20181025-000072,40,2,292.5,0.0,0.0,585.0,585.0,96.32,192.64,392.36
153,2-20181025-000072,64,1,10.5,0.0,0.0,10.5,10.5,3.2,3.2,7.3
154,2-20181025-000072,66,3,16.5,0.0,0.0,49.5,49.5,5.27,15.81,33.69
155,2-20181025-000072,25,3,75.0,0.0,0.0,225.0,225.0,23.17,69.51,155.49
156,2-20181028-000073,87,1,22.0,0.0,0.0,22.0,22.0,7.17,7.17,14.83
157,2-20181028-000073,66,1,16.5,0.0,0.0,16.5,16.5,5.27,5.27,11.23
158,2-20181105-000074,79,1,11.0,0.0,0.0,11.0,11.0,3.52,3.52,7.48
159,2-20181105-000074,79,2,11.0,0.0,0.0,22.0,22.0,3.52,7.04,14.96
160,2-20181105-000074,49,2,25.5,0.0,0.0,51.0,51.0,7.86,15.72,35.28
161,2-20181107-000075,22,1,25.5,0.0,0.0,25.5,25.5,7.72,7.72,17.78
162,2-20181119-R000075,22,-1,25.5,0.0,-0.0,-25.5,-25.5,7.72,-7.72,-17.78
163,2-20181206-000076,85,1,785.0,0.0,0.0,785.0,785.0,376.74,376.74,408.26
164,2-20181206-000076,46,1,18.0,0.0,0.0,18.0,18.0,5.86,5.86,12.14
165,2-20181207-000077,30,1,22.0,0.0,0.0,22.0,22.0,6.81,6.81,15.19
166,2-20181225-000078,78,2,16.0,0.0,0.0,32.0,32.0,5.3,10.6,21.4
167,2-20181230-000079,11,1,17.5,0.2,3.5,17.5,14.0,5.38,5.38,8.62
168,2-20181230-000079,30,1,22.0,0.2,4.4,22.0,17.6,6.81,6.81,10.79
169,2-20181230-000079,46,1,18.0,0.2,3.6,18.0,14.4,5.86,5.86,8.54
170,2-20190112-000080,61,1,112.5,0.0,0.0,112.5,112.5,49.79,49.79,62.71
171,2-20190124-000081,30,4,22.0,0.2689,23.66,88.0,64.34,6.81,27.24,37.1
172,2-20190124-000081,8,2,34.5,0.2689,18.55,69.0,50.45,11.22,22.44,28.01
173,2-20190204-000082,25,2,75.5,0.0,0.0,151.0,151.0,23.17,46.34,104.66
174,2-20190204-000082,66,2,16.5,0.0,0.0,33.0,33.0,5.27,10.54,22.46
175,2-20190206-000083,64,6,10.5,0.0,0.0,63.0,63.0,3.2,19.2,43.8
176,2-20190206-000083,77,1,10.5,0.0,0.0,10.5,10.5,3.3,3.3,7.2
177,2-20190206-000083,89,2,69.0,0.0,0.0,138.0,138.0,22.14,44.28,93.72
178,2-20190208-000084,89,3,69.0,0.0,0.0,207.0,207.0,22.14,66.42,140.58
179,2-20190208-000084,64,1,10.5,0.0,0.0,10.5,10.5,3.2,3.2,7.3
180,2-20190326-000085,87,1,22.5,0.0,0.0,22.5,22.5,7.17,7.17,15.33
181,2-20190326-000085,43,1,47.5,0.0,0.0,47.5,47.5,20.92,20.92,26.58
182,2-20190328-000086,25,4,76.0,0.0,0.0,304.0,304.0,23.17,92.68,211.32
183,2-20190328-000086,64,1,10.5,0.0,0.0,10.5,10.5,3.2,3.2,7.3
184,2-20190510-000087,25,1,76.0,0.0,0.0,76.0,76.0,23.17,23.17,52.83
185,2-20190515-000088,78,2,16.0,0.0,0.0,32.0,32.0,5.3,10.6,21.4
186,2-20190529-000089,89,1,69.5,0.0,0.0,69.5,69.5,22.14,22.14,47.36
187,2-20190529-000089,30,3,22.5,0.0,0.0,67.5,67.5,6.81,20.43,47.07
188,2-20190605-000090,64,1,10.5,0.0,0.0,10.5,10.5,3.2,3.2,7.3
189,2-20190611-000091,87,2,22.5,0.0,0.0,45.0,45.0,7.17,14.34,30.66
190,2-20190711-R000091,87,-2,22.5,0.0,-0.0,-45.0,-45.0,7.17,-14.34,-30.66
191,2-20190612-000092,61,1,113.5,0.0,0.0,113.5,113.5,49.79,49.79,63.71
192,2-20190616-000093,49,1,25.5,0.0,0.0,25.5,25.5,7.86,7.86,17.64
193,2-20190617-000094,64,1,10.5,0.0,0.0,10.5,10.5,3.2,3.2,7.3
194,2-20190809-000095,40,4,299.5,0.0,0.0,1198.0,1198.0,96.32,385.28,812.72
195,2-20190809-000095,66,1,17.0,0.0,0.0,17.0,17.0,5.27,5.27,11.73
196,2-20190818-000096,85,1,801.0,0.0,0.0,801.0,801.0,376.74,376.74,424.26
197,2-20190818-000096,49,2,26.0,0.0,0.0,52.0,52.0,7.86,15.72,36.28
198,2-20190818-000096,64,1,10.5,0.0,0.0,10.5,10.5,3.2,3.2,7.3
199,2-20190830-000097,78,2,16.0,0.0,0.0,32.0,32.0,5.3,10.6,21.4
200,2-20190902-000098,66,1,17.0,0.0,0.0,17.0,17.0,5.27,5.27,11.73
201,2-20190902-000098,78,2,16.0,0.0,0.0,32.0,32.0,5.3,10.6,21.4
202,2-20190911-000099,30,1,22.5,0.0,0.0,22.5,22.5,6.81,6.81,15.69
203,2-20190922-000100,30,1,22.5,0.0898,2.02,22.5,20.48,6.81,6.81,13.67
204,2-20190922-000100,64,1,11.0,0.0898,0.99,11.0,10.01,3.2,3.2,6.81
205,2-20190922-000100,30,2,22.5,0.0898,4.04,45.0,40.96,6.81,13.62,27.34
206,2-20190922-000100,12,1,78.5,0.0898,7.05,78.5,71.45,30.55,30.55,40.9
207,2-20190924-000101,46,1,18.0,0.0898,1.62,18.0,16.38,5.86,5.86,10.52
208,2-20191007-R000101,46,-1,18.0,0.0898,-1.62,-18.0,-16.38,5.86,-5.86,-10.52
209,2-20191018-000102,66,3,17.0,0.0,0.0,51.0,51.0,5.27,15.81,35.19
210,2-20191018-000102,43,1,48.0,0.0,0.0,48.0,48.0,20.92,20.92,27.08
211,2-20191029-000103,79,3,11.5,0.0,0.0,34.5,34.5,3.52,10.56,23.94
212,2-20191029-000103,79,3,11.5,0.0,0.0,34.5,34.5,3.52,10.56,23.94
213,2-20191103-000104,64,2,11.0,0.0,0.0,22.0,22.0,3.2,6.4,15.6
214,2-20191103-000104,1,6,69.5,0.0,0.0,417.0,417.0,22.3,133.8,283.2
215,2-20191208-000105,8,1,35.5,0.0,0.0,35.5,35.5,11.22,11.22,24.28
216,2-20191208-000105,30,3,23.0,0.0,0.0,69.0,69.0,6.81,20.43,48.57
217,2-20191215-000106,66,1,17.0,0.0,0.0,17.0,17.0,5.27,5.27,11.73
218,2-20191215-000106,30,1,23.0,0.0,0.0,23.0,23.0,6.81,6.81,16.19
219,2-20191222-000107,64,1,11.0,0.0,0.0,11.0,11.0,3.2,3.2,7.8
220,2-20191222-000107,30,3,23.0,0.0,0.0,69.0,69.0,6.81,20.43,48.57
221,2-20191225-000108,11,2,18.0,0.0,0.0,36.0,36.0,5.38,10.76,25.24
222,2-20191225-000108,77,3,11.0,0.0,0.0,33.0,33.0,3.3,9.9,23.1
223,2-20191229-000109,66,1,17.0,0.2,3.4,17.0,13.6,5.27,5.27,8.33
224,2-20191229-000109,25,3,77.5,0.2,46.5,232.5,186.0,23.17,69.51,116.49
225,2-20200408-000110,79,1,11.5,0.0,0.0,11.5,11.5,3.52,3.52,7.98
226,2-20200521-000111,49,1,26.5,0.0,0.0,26.5,26.5,7.86,7.86,18.64
227,2-20200523-000112,66,1,17.5,0.0,0.0,17.5,17.5,5.27,5.27,12.23
228,2-20200524-000113,64,1,11.0,0.0,0.0,11.0,11.0,3.2,3.2,7.8
229,2-20200524-000113,12,1,80.0,0.0,0.0,80.0,80.0,30.55,30.55,49.45
230,2-20200622-000114,79,1,11.5,0.0,0.0,11.5,11.5,3.52,3.52,7.98
231,2-20200622-000114,43,1,49.0,0.0,0.0,49.0,49.0,20.92,20.92,28.08
232,2-20200804-000115,49,1,26.5,0.0,0.0,26.5,26.5,7.86,7.86,18.64
233,2-20200814-000116,30,1,23.5,0.0,0.0,23.5,23.5,6.81,6.81,16.69
234,2-20200822-000117,11,1,18.5,0.0,0.0,18.5,18.5,5.38,5.38,13.12
235,2-20200916-000118,22,2,26.5,0.0951,5.04,53.0,47.96,7.72,15.44,32.52
236,2-20200916-000118,8,1,36.5,0.0951,3.47,36.5,33.03,11.22,11.22,21.81
237,2-20200916-000118,46,1,19.0,0.0951,1.81,19.0,17.19,5.86,5.86,11.33
238,2-20200918-000119,40,6,309.5,0.0951,176.6,1857.0,1680.4,96.32,577.92,1102.48
239,2-20201102-000120,85,1,830.5,0.0,0.0,830.5,830.5,376.74,376.74,453.76
240,2-20201102-000120,87,3,23.5,0.0,0.0,70.5,70.5,7.17,21.51,48.99
241,2-20201102-000120,89,3,73.0,0.0,0.0,219.0,219.0,22.14,66.42,152.58
242,2-20201102-000120,8,3,36.5,0.0,0.0,109.5,109.5,11.22,33.66,75.84
243,2-20201102-000120,8,1,36.5,0.0,0.0,36.5,36.5,11.22,11.22,25.28
244,2-20201115-000121,11,1,18.5,0.0,0.0,18.5,18.5,5.38,5.38,13.12
245,2-20201115-000121,89,1,73.0,0.0,0.0,73.0,73.0,22.14,22.14,50.86
246,2-20201123-000122,30,1,23.5,0.3,7.05,23.5,16.45,6.81,6.81,9.64
247,2-20201123-000122,64,1,11.0,0.3,3.3,11.0,7.7,3.2,3.2,4.5
248,2-20201127-000123,78,3,17.0,0.3,15.3,51.0,35.7,5.3,15.9,19.8
249,2-20201127-000123,91,1,78.0,0.3,23.4,78.0,54.6,29.81,29.81,24.79
250,2-20201205-000124,40,1,311.5,0.0,0.0,311.5,311.5,96.32,96.32,215.18
251,2-20201205-000124,22,1,27.0,0.0,0.0,27.0,27.0,7.72,7.72,19.28
252,2-20201205-000124,30,1,23.5,0.0,0.0,23.5,23.5,6.81,6.81,16.69
253,2-20201206-000125,89,1,73.0,0.0,0.0,73.0,73.0,22.14,22.14,50.86
254,2-20201207-000126,85,1,832.5,0.0,0.0,832.5,832.5,376.74,376.74,455.76
255,2-20201207-000126,30,2,23.5,0.0,0.0,47.0,47.0,6.81,13.62,33.38
256,2-20201208-000127,64,1,11.0,0.0,0.0,11.0,11.0,3.2,3.2,7.8
257,2-20201208-000127,30,2,23.5,0.0,0.0,47.0,47.0,6.81,13.62,33.38
258,2-20201223-000128,79,4,12.0,0.0,0.0,48.0,48.0,3.52,14.08,33.92
259,2-20201228-000129,79,1,12.0,0.2,2.4,12.0,9.6,3.52,3.52,6.08
260,2-20201228-000129,49,3,27.0,0.2,16.2,81.0,64.8,7.86,23.58,41.22
261,2-20201228-000129,89,1,73.0,0.2,14.6,73.0,58.4,22.14,22.14,36.26
262,2-20210129-000130,78,2,17.0,0.0,0.0,34.0,34.0,5.3,10.6,23.4
263,2-20210129-000130,77,1,11.5,0.0,0.0,11.5,11.5,3.3,3.3,8.2
264,2-20210131-000131,1,3,72.0,0.0,0.0,216.0,216.0,22.3,66.9,149.1
265,2-20210202-000132,40,2,313.0,0.0,0.0,626.0,626.0,96.32,192.64,433.36
266,2-20210202-000132,30,1,23.5,0.0,0.0,23.5,23.5,6.81,6.81,16.69
267,2-20210304-R000132,40,-2,313.0,0.0,-0.0,-626.0,-626.0,96.32,-192.64,-433.36
268,2-20210304-R000132,30,-1,23.5,0.0,-0.0,-23.5,-23.5,6.81,-6.81,-16.69
269,2-20210223-000133,85,1,838.0,0.0,0.0,838.0,838.0,376.74,376.74,461.26
270,2-20210223-000133,64,3,11.0,0.0,0.0,33.0,33.0,3.2,9.6,23.4
271,2-20210228-000134,85,1,838.5,0.0,0.0,838.5,838.5,376.74,376.74,461.76
272,2-20210228-000134,89,1,73.5,0.0,0.0,73.5,73.5,22.14,22.14,51.36
273,2-20210327-000135,77,1,11.5,0.1304,1.5,11.5,10.0,3.3,3.3,6.7
274,2-20210327-000135,43,1,50.5,0.0,0.0,50.5,50.5,20.92,20.92,29.58
275,2-20210409-000136,1,3,72.5,0.0,0.0,217.5,217.5,22.3,66.9,150.6
276,2-20210514-000137,87,1,24.0,0.0,0.0,24.0,24.0,7.17,7.17,16.83
277,2-20210514-000137,30,1,24.0,0.0,0.0,24.0,24.0,6.81,6.81,17.19
278,2-20210524-000138,85,1,844.0,0.0,0.0,844.0,844.0,376.74,376.74,467.26
279,2-20210524-000138,87,2,24.0,0.0,0.0,48.0,48.0,7.17,14.34,33.66
280,2-20210527-000139,89,1,74.0,0.0,0.0,74.0,74.0,22.14,22.14,51.86
281,2-20210527-000139,40,3,316.0,0.0,0.0,948.0,948.0,96.32,288.96,659.04
282,2-20210602-000140,66,4,18.0,0.0,0.0,72.0,72.0,5.27,21.08,50.92
283,2-20210607-000141,30,2,24.0,0.0,0.0,48.0,48.0,6.81,13.62,34.38
284,2-20210626-000142,64,1,11.5,0.198,2.28,11.5,9.22,3.2,3.2,6.02
285,2-20210626-000142,1,1,73.0,0.198,14.45,73.0,58.55,22.3,22.3,36.25
286,2-20210626-000142,79,1,12.0,0.198,2.38,12.0,9.62,3.52,3.52,6.1
287,2-20210701-000143,11,1,19.0,0.0,0.0,19.0,19.0,5.38,5.38,13.62
288,2-20210701-000143,87,1,24.0,0.0,0.0,24.0,24.0,7.17,7.17,16.83
289,2-20210701-000143,79,1,12.0,0.0,0.0,12.0,12.0,3.52,3.52,8.48
290,2-20210713-000144,40,4,317.0,0.0,0.0,1268.0,1268.0,96.32,385.28,882.72
291,2-20210713-000144,40,1,317.0,0.0,0.0,317.0,317.0,96.32,96.32,220.68
292,2-20210723-000145,11,1,19.0,0.0,0.0,19.0,19.0,5.38,5.38,13.62
