month,channel,spend_amount,currency,market
2015-08-01,PAID_SEARCH,1014.49,USD,us
2015-08-01,PAID_SOCIAL,627.57,USD,us
2015-08-01,EMAIL,161.13,USD,us
2015-08-01,AFFILIATE,357.56,USD,us
2015-09-01,ORGANIC,175.45,USD,us
2015-09-01,REFERRAL,323.87,USD,us
2015-09-01,PAID_SEARCH,777.41,USD,us
2015-09-01,PAID_SOCIAL,670.42,USD,us
2015-09-01,EMAIL,152.15,USD,us
2015-09-01,AFFILIATE,542.25,USD,us
2015-10-01,ORGANIC,190.55,USD,us
2015-10-01,REFERRAL,311.67,USD,us
2015-10-01,PAID_SEARCH,736.47,USD,us
2015-10-01,PAID_SOCIAL,667.92,USD,us
2015-10-01,EMAIL,158.11,USD,us
2015-10-01,AFFILIATE,365.55,USD,us
2015-11-01,ORGANIC,684.79,USD,us
2015-11-01,REFERRAL,1204.54,USD,us
2015-11-01,PAID_SEARCH,3178.48,USD,us
2015-11-01,PAID_SOCIAL,1823.98,USD,us
2015-11-01,EMAIL,505.79,USD,us
2015-11-01,AFFILIATE,1669.0,USD,us
2015-12-01,ORGANIC,516.51,USD,us
2015-12-01,REFERRAL,802.11,USD,us
2015-12-01,PAID_SEARCH,2314.4,USD,us
2015-12-01,PAID_SOCIAL,1367.78,USD,us
2015-12-01,EMAIL,357.25,USD,us
2015-12-01,AFFILIATE,1016.74,USD,us
2016-01-01,ORGANIC,167.76,USD,us
2016-01-01,REFERRAL,252.2,USD,us
2016-01-01,PAID_SEARCH,678.62,USD,us
2016-01-01,PAID_SOCIAL,493.66,USD,us
2016-01-01,EMAIL,126.16,USD,us
2016-01-01,AFFILIATE,306.38,USD,us
2016-02-01,ORGANIC,226.37,USD,us
2016-02-01,REFERRAL,356.79,USD,us
2016-02-01,PAID_SEARCH,1057.0,USD,us
2016-02-01,PAID_SOCIAL,711.09,USD,us
2016-02-01,EMAIL,156.29,USD,us
2016-02-01,AFFILIATE,501.38,USD,us
2016-03-01,ORGANIC,243.2,USD,us
2016-03-01,REFERRAL,309.63,USD,us
2016-03-01,PAID_SEARCH,805.95,USD,us
2016-03-01,PAID_SOCIAL,801.39,USD,us
2016-03-01,EMAIL,135.76,USD,us
2016-03-01,AFFILIATE,369.92,USD,us
2016-04-01,ORGANIC,208.43,USD,us
2016-04-01,REFERRAL,327.32,USD,us
2016-04-01,PAID_SEARCH,801.03,USD,us
2016-04-01,PAID_SOCIAL,723.71,USD,us
2016-04-01,EMAIL,164.78,USD,us
2016-04-01,AFFILIATE,418.86,USD,us
2016-05-01,ORGANIC,255.11,USD,us
2016-05-01,REFERRAL,337.92,USD,us
2016-05-01,PAID_SEARCH,997.11,USD,us
2016-05-01,PAID_SOCIAL,604.9,USD,us
2016-05-01,EMAIL,136.99,USD,us
2016-05-01,AFFILIATE,460.24,USD,us
2016-06-01,ORGANIC,251.32,USD,us
2016-06-01,REFERRAL,291.28,USD,us
2016-06-01,PAID_SEARCH,908.85,USD,us
2016-06-01,PAID_SOCIAL,620.56,USD,us
2016-06-01,EMAIL,148.97,USD,us
2016-06-01,AFFILIATE,448.5,USD,us
2016-07-01,ORGANIC,171.32,USD,us
2016-07-01,REFERRAL,239.45,USD,us
2016-07-01,PAID_SEARCH,660.47,USD,us
2016-07-01,PAID_SOCIAL,488.3,USD,us
2016-07-01,EMAIL,142.93,USD,us
2016-07-01,AFFILIATE,396.35,USD,us
2016-08-01,ORGANIC,224.56,USD,us
2016-08-01,REFERRAL,294.54,USD,us
2016-08-01,PAID_SEARCH,986.13,USD,us
2016-08-01,PAID_SOCIAL,758.04,USD,us
2016-08-01,EMAIL,160.62,USD,us
2016-08-01,AFFILIATE,433.1,USD,us
2016-09-01,ORGANIC,198.24,USD,us
2016-09-01,REFERRAL,330.23,USD,us
2016-09-01,PAID_SEARCH,1040.91,USD,us
2016-09-01,PAID_SOCIAL,788.56,USD,us
2016-09-01,EMAIL,156.39,USD,us
2016-09-01,AFFILIATE,463.7,USD,us
2016-10-01,ORGANIC,188.65,USD,us
2016-10-01,REFERRAL,347.65,USD,us
2016-10-01,PAID_SEARCH,821.56,USD,us
2016-10-01,PAID_SOCIAL,756.87,USD,us
2016-10-01,EMAIL,208.15,USD,us
2016-10-01,AFFILIATE,414.92,USD,us
2016-11-01,ORGANIC,958.87,USD,us
2016-11-01,REFERRAL,1189.64,USD,us
2016-11-01,PAID_SEARCH,2900.92,USD,us
2016-11-01,PAID_SOCIAL,2280.89,USD,us
2016-11-01,EMAIL,694.6,USD,us
2016-11-01,AFFILIATE,1615.92,USD,us
2016-12-01,ORGANIC,519.99,USD,us
2016-12-01,REFERRAL,825.26,USD,us
2016-12-01,PAID_SEARCH,2429.95,USD,us
2016-12-01,PAID_SOCIAL,1839.19,USD,us
2016-12-01,EMAIL,431.73,USD,us
2016-12-01,AFFILIATE,1346.9,USD,us
2017-01-01,ORGANIC,139.56,USD,us
2017-01-01,REFERRAL,260.73,USD,us
2017-01-01,PAID_SEARCH,697.34,USD,us
2017-01-01,PAID_SOCIAL,555.62,USD,us
2017-01-01,EMAIL,133.1,USD,us
2017-01-01,AFFILIATE,289.29,USD,us
2017-02-01,ORGANIC,171.54,USD,us
2017-02-01,REFERRAL,357.78,USD,us
2017-02-01,PAID_SEARCH,989.65,USD,us
2017-02-01,PAID_SOCIAL,722.42,USD,us
2017-02-01,EMAIL,142.36,USD,us
2017-02-01,AFFILIATE,577.44,USD,us
2017-03-01,ORGANIC,235.12,USD,us
2017-03-01,REFERRAL,350.61,USD,us
2017-03-01,PAID_SEARCH,1223.82,USD,us
2017-03-01,PAID_SOCIAL,920.83,USD,us
2017-03-01,EMAIL,202.12,USD,us
2017-03-01,AFFILIATE,426.89,USD,us
2017-04-01,ORGANIC,197.36,USD,us
2017-04-01,REFERRAL,371.51,USD,us
2017-04-01,PAID_SEARCH,1045.12,USD,us
2017-04-01,PAID_SOCIAL,939.84,USD,us
2017-04-01,EMAIL,143.73,USD,us
2017-04-01,AFFILIATE,518.05,USD,us
2017-05-01,ORGANIC,246.95,USD,us
2017-05-01,REFERRAL,382.68,USD,us
2017-05-01,PAID_SEARCH,962.71,USD,us
2017-05-01,PAID_SOCIAL,878.77,USD,us
2017-05-01,EMAIL,158.41,USD,us
2017-05-01,AFFILIATE,469.82,USD,us
2017-06-01,ORGANIC,201.28,USD,us
2017-06-01,REFERRAL,323.37,USD,us
2017-06-01,PAID_SEARCH,979.34,USD,us
2017-06-01,PAID_SOCIAL,794.43,USD,us
2017-06-01,EMAIL,158.7,USD,us
2017-06-01,AFFILIATE,421.1,USD,us
2017-07-01,ORGANIC,228.47,USD,us
2017-07-01,REFERRAL,282.54,USD,us
2017-07-01,PAID_SEARCH,881.14,USD,us
2017-07-01,PAID_SOCIAL,585.22,USD,us
2017-07-01,EMAIL,165.79,USD,us
2017-07-01,AFFILIATE,418.28,USD,us
2017-08-01,ORGANIC,214.75,USD,us
2017-08-01,REFERRAL,334.69,USD,us
2017-08-01,PAID_SEARCH,1090.77,USD,us
2017-08-01,PAID_SOCIAL,588.73,USD,us
2017-08-01,EMAIL,157.58,USD,us
2017-08-01,AFFILIATE,478.24,USD,us
2017-09-01,ORGANIC,221.78,USD,us
2017-09-01,REFERRAL,437.59,USD,us
2017-09-01,PAID_SEARCH,969.64,USD,us
2017-09-01,PAID_SOCIAL,918.17,USD,us
2017-09-01,EMAIL,202.85,USD,us
2017-09-01,AFFILIATE,516.46,USD,us
2017-10-01,ORGANIC,209.58,USD,us
2017-10-01,REFERRAL,304.97,USD,us
2017-10-01,PAID_SEARCH,1078.32,USD,us
2017-10-01,PAID_SOCIAL,972.87,USD,us
2017-10-01,EMAIL,181.11,USD,us
2017-10-01,AFFILIATE,543.7,USD,us
2017-11-01,ORGANIC,990.38,USD,us
2017-11-01,REFERRAL,1327.27,USD,us
2017-11-01,PAID_SEARCH,3125.74,USD,us
2017-11-01,PAID_SOCIAL,2938.97,USD,us
2017-11-01,EMAIL,683.43,USD,us
2017-11-01,AFFILIATE,1651.86,USD,us
2017-12-01,ORGANIC,672.25,USD,us
2017-12-01,REFERRAL,903.7,USD,us
2017-12-01,PAID_SEARCH,2696.39,USD,us
2017-12-01,PAID_SOCIAL,2095.96,USD,us
2017-12-01,EMAIL,453.63,USD,us
2017-12-01,AFFILIATE,1285.13,USD,us
2018-01-01,ORGANIC,139.92,USD,us
2018-01-01,REFERRAL,252.86,USD,us
2018-01-01,PAID_SEARCH,689.74,USD,us
2018-01-01,PAID_SOCIAL,661.98,USD,us
2018-01-01,EMAIL,118.4,USD,us
2018-01-01,AFFILIATE,410.39,USD,us
2018-02-01,ORGANIC,262.58,USD,us
2018-02-01,REFERRAL,399.09,USD,us
2018-02-01,PAID_SEARCH,981.47,USD,us
2018-02-01,PAID_SOCIAL,976.14,USD,us
2018-02-01,EMAIL,159.0,USD,us
2018-02-01,AFFILIATE,524.56,USD,us
2018-03-01,ORGANIC,253.62,USD,us
2018-03-01,REFERRAL,415.41,USD,us
2018-03-01,PAID_SEARCH,1177.09,USD,us
2018-03-01,PAID_SOCIAL,1109.88,USD,us
2018-03-01,EMAIL,188.53,USD,us
2018-03-01,AFFILIATE,519.97,USD,us
2018-04-01,ORGANIC,259.01,USD,us
2018-04-01,REFERRAL,412.17,USD,us
2018-04-01,PAID_SEARCH,1065.03,USD,us
2018-04-01,PAID_SOCIAL,1023.18,USD,us
2018-04-01,EMAIL,178.35,USD,us
2018-04-01,AFFILIATE,425.46,USD,us
2018-05-01,ORGANIC,248.69,USD,us
2018-05-01,REFERRAL,328.99,USD,us
2018-05-01,PAID_SEARCH,1160.83,USD,us
2018-05-01,PAID_SOCIAL,834.47,USD,us
2018-05-01,EMAIL,170.53,USD,us
2018-05-01,AFFILIATE,509.32,USD,us
2018-06-01,ORGANIC,266.83,USD,us
2018-06-01,REFERRAL,357.75,USD,us
2018-06-01,PAID_SEARCH,1003.12,USD,us
2018-06-01,PAID_SOCIAL,1021.74,USD,us
2018-06-01,EMAIL,179.77,USD,us
2018-06-01,AFFILIATE,574.49,USD,us
2018-07-01,ORGANIC,181.98,USD,us
2018-07-01,REFERRAL,328.0,USD,us
2018-07-01,PAID_SEARCH,1191.28,USD,us
2018-07-01,PAID_SOCIAL,817.9,USD,us
2018-07-01,EMAIL,159.11,USD,us
2018-07-01,AFFILIATE,377.37,USD,us
2018-08-01,ORGANIC,217.88,USD,us
2018-08-01,REFERRAL,395.29,USD,us
2018-08-01,PAID_SEARCH,1086.86,USD,us
2018-08-01,PAID_SOCIAL,1046.39,USD,us
2018-08-01,EMAIL,191.56,USD,us
2018-08-01,AFFILIATE,462.23,USD,us
2018-09-01,ORGANIC,262.39,USD,us
2018-09-01,REFERRAL,330.95,USD,us
2018-09-01,PAID_SEARCH,1037.97,USD,us
2018-09-01,PAID_SOCIAL,1008.44,USD,us
2018-09-01,EMAIL,212.55,USD,us
2018-09-01,AFFILIATE,478.95,USD,us
2018-10-01,ORGANIC,241.72,USD,us
2018-10-01,REFERRAL,383.81,USD,us
2018-10-01,PAID_SEARCH,1197.83,USD,us
2018-10-01,PAID_SOCIAL,1102.54,USD,us
2018-10-01,EMAIL,176.33,USD,us
2018-10-01,AFFILIATE,586.27,USD,us
2018-11-01,ORGANIC,944.62,USD,us
2018-11-01,REFERRAL,1558.66,USD,us
2018-11-01,PAID_SEARCH,4131.24,USD,us
2018-11-01,PAID_SOCIAL,3504.69,USD,us
2018-11-01,EMAIL,612.62,USD,us
2018-11-01,AFFILIATE,1591.53,USD,us
2018-12-01,ORGANIC,602.11,USD,us
2018-12-01,REFERRAL,993.61,USD,us
2018-12-01,PAID_SEARCH,2890.25,USD,us
2018-12-01,PAID_SOCIAL,2716.33,USD,us
2018-12-01,EMAIL,408.29,USD,us
2018-12-01,AFFILIATE,1359.05,USD,us
2019-01-01,ORGANIC,212.0,USD,us
2019-01-01,REFERRAL,314.15,USD,us
2019-01-01,PAID_SEARCH,935.47,USD,us
2019-01-01,PAID_SOCIAL,846.1,USD,us
2019-01-01,EMAIL,132.6,USD,us
2019-01-01,AFFILIATE,338.04,USD,us
2019-02-01,ORGANIC,264.04,USD,us
2019-02-01,REFERRAL,308.21,USD,us
2019-02-01,PAID_SEARCH,1217.83,USD,us
2019-02-01,PAID_SOCIAL,1162.84,USD,us
2019-02-01,EMAIL,187.83,USD,us
2019-02-01,AFFILIATE,712.8,USD,us
2019-03-01,ORGANIC,298.56,USD,us
2019-03-01,REFERRAL,450.3,USD,us
2019-03-01,PAID_SEARCH,1142.33,USD,us
2019-03-01,PAID_SOCIAL,1386.78,USD,us
2019-03-01,EMAIL,208.79,USD,us
2019-03-01,AFFILIATE,530.47,USD,us
2019-04-01,ORGANIC,253.32,USD,us
2019-04-01,REFERRAL,447.27,USD,us
2019-04-01,PAID_SEARCH,1183.43,USD,us
2019-04-01,PAID_SOCIAL,1179.61,USD,us
2019-04-01,EMAIL,202.84,USD,us
2019-04-01,AFFILIATE,521.17,USD,us
2019-05-01,ORGANIC,245.68,USD,us
2019-05-01,REFERRAL,366.29,USD,us
2019-05-01,PAID_SEARCH,1368.16,USD,us
2019-05-01,PAID_SOCIAL,1057.64,USD,us
2019-05-01,EMAIL,202.36,USD,us
2019-05-01,AFFILIATE,504.23,USD,us
2019-06-01,ORGANIC,223.88,USD,us
2019-06-01,REFERRAL,359.91,USD,us
2019-06-01,PAID_SEARCH,1222.36,USD,us
2019-06-01,PAID_SOCIAL,1184.25,USD,us
2019-06-01,EMAIL,203.79,USD,us
2019-06-01,AFFILIATE,481.85,USD,us
2019-07-01,ORGANIC,211.0,USD,us
2019-07-01,REFERRAL,320.89,USD,us
2019-07-01,PAID_SEARCH,1127.15,USD,us
2019-07-01,PAID_SOCIAL,962.31,USD,us
2019-07-01,EMAIL,165.78,USD,us
2019-07-01,AFFILIATE,460.71,USD,us
2019-08-01,ORGANIC,296.04,USD,us
2019-08-01,REFERRAL,355.76,USD,us
2019-08-01,PAID_SEARCH,1208.5,USD,us
2019-08-01,PAID_SOCIAL,1175.78,USD,us
2019-08-01,EMAIL,191.68,USD,us
2019-08-01,AFFILIATE,540.9,USD,us
2019-09-01,ORGANIC,206.75,USD,us
2019-09-01,REFERRAL,379.92,USD,us
2019-09-01,PAID_SEARCH,1138.05,USD,us
2019-09-01,PAID_SOCIAL,1358.61,USD,us
2019-09-01,EMAIL,241.15,USD,us
2019-09-01,AFFILIATE,582.67,USD,us
2019-10-01,ORGANIC,217.03,USD,us
2019-10-01,REFERRAL,438.27,USD,us
2019-10-01,PAID_SEARCH,1135.32,USD,us
2019-10-01,PAID_SOCIAL,1099.38,USD,us
2019-10-01,EMAIL,184.25,USD,us
2019-10-01,AFFILIATE,556.33,USD,us
2019-11-01,ORGANIC,852.39,USD,us
2019-11-01,REFERRAL,1240.88,USD,us
2019-11-01,PAID_SEARCH,4096.56,USD,us
2019-11-01,PAID_SOCIAL,4486.7,USD,us
2019-11-01,EMAIL,685.86,USD,us
2019-11-01,AFFILIATE,2075.43,USD,us
2019-12-01,ORGANIC,509.94,USD,us
2019-12-01,REFERRAL,1161.76,USD,us
2019-12-01,PAID_SEARCH,3048.56,USD,us
2019-12-01,PAID_SOCIAL,3364.44,USD,us
2019-12-01,EMAIL,519.1,USD,us
2019-12-01,AFFILIATE,1437.08,USD,us
2020-01-01,ORGANIC,155.92,USD,us
2020-01-01,REFERRAL,375.67,USD,us
2020-01-01,PAID_SEARCH,1066.18,USD,us
2020-01-01,PAID_SOCIAL,1043.79,USD,us
2020-01-01,EMAIL,174.05,USD,us
2020-01-01,AFFILIATE,461.05,USD,us
2020-02-01,ORGANIC,303.84,USD,us
2020-02-01,REFERRAL,419.7,USD,us
2020-02-01,PAID_SEARCH,1513.86,USD,us
2020-02-01,PAID_SOCIAL,1286.16,USD,us
2020-02-01,EMAIL,199.78,USD,us
2020-02-01,AFFILIATE,650.45,USD,us
2020-03-01,ORGANIC,233.72,USD,us
2020-03-01,REFERRAL,455.32,USD,us
2020-03-01,PAID_SEARCH,1365.89,USD,us
2020-03-01,PAID_SOCIAL,1099.83,USD,us
2020-03-01,EMAIL,200.75,USD,us
2020-03-01,AFFILIATE,621.98,USD,us
2020-04-01,ORGANIC,290.47,USD,us
2020-04-01,REFERRAL,453.37,USD,us
2020-04-01,PAID_SEARCH,1613.95,USD,us
2020-04-01,PAID_SOCIAL,1444.05,USD,us
2020-04-01,EMAIL,198.73,USD,us
2020-04-01,AFFILIATE,640.44,USD,us
2020-05-01,ORGANIC,258.33,USD,us
2020-05-01,REFERRAL,462.31,USD,us
2020-05-01,PAID_SEARCH,1418.31,USD,us
2020-05-01,PAID_SOCIAL,1286.38,USD,us
2020-05-01,EMAIL,210.56,USD,us
2020-05-01,AFFILIATE,673.91,USD,us
2020-06-01,ORGANIC,240.71,USD,us
2020-06-01,REFERRAL,454.77,USD,us
2020-06-01,PAID_SEARCH,1187.3,USD,us
2020-06-01,PAID_SOCIAL,1524.41,USD,us
2020-06-01,EMAIL,221.47,USD,us
2020-06-01,AFFILIATE,749.16,USD,us
2020-07-01,ORGANIC,202.1,USD,us
2020-07-01,REFERRAL,417.15,USD,us
2020-07-01,PAID_SEARCH,1310.54,USD,us
2020-07-01,PAID_SOCIAL,1145.49,USD,us
2020-07-01,EMAIL,172.09,USD,us
2020-07-01,AFFILIATE,488.15,USD,us
2020-08-01,ORGANIC,231.63,USD,us
2020-08-01,REFERRAL,407.68,USD,us
2020-08-01,PAID_SEARCH,1232.82,USD,us
2020-08-01,PAID_SOCIAL,1591.69,USD,us
2020-08-01,EMAIL,178.78,USD,us
2020-08-01,AFFILIATE,653.8,USD,us
2020-09-01,ORGANIC,279.31,USD,us
2020-09-01,REFERRAL,456.56,USD,us
2020-09-01,PAID_SEARCH,1472.65,USD,us
2020-09-01,PAID_SOCIAL,1502.56,USD,us
2020-09-01,EMAIL,201.0,USD,us
2020-09-01,AFFILIATE,649.84,USD,us
2020-10-01,ORGANIC,259.79,USD,us
2020-10-01,REFERRAL,498.21,USD,us
2020-10-01,PAID_SEARCH,1705.93,USD,us
2020-10-01,PAID_SOCIAL,1208.77,USD,us
2020-10-01,EMAIL,167.65,USD,us
2020-10-01,AFFILIATE,680.87,USD,us
2020-11-01,ORGANIC,1037.03,USD,us
2020-11-01,REFERRAL,1844.72,USD,us
2020-11-01,PAID_SEARCH,5298.67,USD,us
2020-11-01,PAID_SOCIAL,5474.87,USD,us
2020-11-01,EMAIL,858.58,USD,us
2020-11-01,AFFILIATE,2584.98,USD,us
2020-12-01,ORGANIC,757.2,USD,us
2020-12-01,REFERRAL,999.12,USD,us
2020-12-01,PAID_SEARCH,3662.61,USD,us
2020-12-01,PAID_SOCIAL,3675.98,USD,us
2020-12-01,EMAIL,541.54,USD,us
2020-12-01,AFFILIATE,1668.55,USD,us
2021-01-01,ORGANIC,229.72,USD,us
2021-01-01,REFERRAL,308.02,USD,us
2021-01-01,PAID_SEARCH,1193.66,USD,us
2021-01-01,PAID_SOCIAL,1169.69,USD,us
2021-01-01,EMAIL,144.06,USD,us
2021-01-01,AFFILIATE,442.63,USD,us
2021-02-01,ORGANIC,235.44,USD,us
2021-02-01,REFERRAL,499.18,USD,us
2021-02-01,PAID_SEARCH,1569.07,USD,us
2021-02-01,PAID_SOCIAL,1485.98,USD,us
2021-02-01,EMAIL,182.88,USD,us
2021-02-01,AFFILIATE,739.29,USD,us
2021-03-01,ORGANIC,278.78,USD,us
2021-03-01,REFERRAL,442.09,USD,us
2021-03-01,PAID_SEARCH,1426.83,USD,us
2021-03-01,PAID_SOCIAL,1581.09,USD,us
2021-03-01,EMAIL,235.69,USD,us
2021-03-01,AFFILIATE,685.24,USD,us
2021-04-01,ORGANIC,249.98,USD,us
2021-04-01,REFERRAL,473.3,USD,us
2021-04-01,PAID_SEARCH,1744.16,USD,us
2021-04-01,PAID_SOCIAL,1626.25,USD,us
2021-04-01,EMAIL,226.65,USD,us
2021-04-01,AFFILIATE,685.55,USD,us
2021-05-01,ORGANIC,258.46,USD,us
2021-05-01,REFERRAL,432.13,USD,us
2021-05-01,PAID_SEARCH,1316.64,USD,us
2021-05-01,PAID_SOCIAL,1811.06,USD,us
2021-05-01,EMAIL,235.52,USD,us
2021-05-01,AFFILIATE,714.47,USD,us
2021-06-01,ORGANIC,292.09,USD,us
2021-06-01,REFERRAL,492.23,USD,us
2021-06-01,PAID_SEARCH,1463.07,USD,us
2021-06-01,PAID_SOCIAL,1567.05,USD,us
2021-06-01,EMAIL,214.43,USD,us
2021-06-01,AFFILIATE,886.59,USD,us
2021-07-01,ORGANIC,265.75,USD,us
2021-07-01,REFERRAL,411.45,USD,us
2021-07-01,PAID_SEARCH,1525.54,USD,us
2021-07-01,PAID_SOCIAL,1547.45,USD,us
2021-07-01,EMAIL,164.93,USD,us
2021-07-01,AFFILIATE,588.91,USD,us
2021-08-01,ORGANIC,283.24,USD,us
2021-08-01,REFERRAL,505.17,USD,us
2021-08-01,PAID_SEARCH,1543.69,USD,us
2021-08-01,PAID_SOCIAL,1603.77,USD,us
2021-08-01,EMAIL,214.72,USD,us
2021-08-01,AFFILIATE,782.95,USD,us
2021-09-01,ORGANIC,242.76,USD,us
2021-09-01,REFERRAL,455.72,USD,us
2021-09-01,PAID_SEARCH,1287.93,USD,us
2021-09-01,PAID_SOCIAL,1452.96,USD,us
2021-09-01,EMAIL,232.25,USD,us
2021-09-01,AFFILIATE,732.45,USD,us
2021-10-01,ORGANIC,274.82,USD,us
2021-10-01,REFERRAL,529.57,USD,us
2021-10-01,PAID_SEARCH,1792.87,USD,us
2021-10-01,PAID_SOCIAL,1608.52,USD,us
2021-10-01,EMAIL,230.75,USD,us
2021-10-01,AFFILIATE,676.56,USD,us
2021-11-01,ORGANIC,1055.21,USD,us
2021-11-01,REFERRAL,1467.26,USD,us
2021-11-01,PAID_SEARCH,6519.21,USD,us
2021-11-01,PAID_SOCIAL,6315.33,USD,us
2021-11-01,EMAIL,693.42,USD,us
2021-11-01,AFFILIATE,2284.49,USD,us
2021-12-01,ORGANIC,768.7,USD,us
2021-12-01,REFERRAL,1195.89,USD,us
2021-12-01,PAID_SEARCH,4329.14,USD,us
2021-12-01,PAID_SOCIAL,4059.95,USD,us
2021-12-01,EMAIL,674.53,USD,us
2021-12-01,AFFILIATE,1843.95,USD,us
2022-01-01,ORGANIC,261.46,USD,us
2022-01-01,REFERRAL,381.59,USD,us
2022-01-01,PAID_SEARCH,1070.93,USD,us
2022-01-01,PAID_SOCIAL,1617.05,USD,us
2022-01-01,EMAIL,187.13,USD,us
2022-01-01,AFFILIATE,566.38,USD,us
2022-02-01,ORGANIC,320.17,USD,us
2022-02-01,REFERRAL,453.01,USD,us
2022-02-01,PAID_SEARCH,1449.43,USD,us
2022-02-01,PAID_SOCIAL,1903.3,USD,us
2022-02-01,EMAIL,274.08,USD,us
2022-02-01,AFFILIATE,810.33,USD,us
2022-03-01,ORGANIC,352.13,USD,us
2022-03-01,REFERRAL,582.08,USD,us
2022-03-01,PAID_SEARCH,1772.19,USD,us
2022-03-01,PAID_SOCIAL,2137.53,USD,us
2022-03-01,EMAIL,277.54,USD,us
2022-03-01,AFFILIATE,773.24,USD,us
2022-04-01,ORGANIC,294.3,USD,us
2022-04-01,REFERRAL,521.37,USD,us
2022-04-01,PAID_SEARCH,1341.99,USD,us
2022-04-01,PAID_SOCIAL,1964.88,USD,us
2022-04-01,EMAIL,258.22,USD,us
2022-04-01,AFFILIATE,790.75,USD,us
2022-05-01,ORGANIC,311.09,USD,us
2022-05-01,REFERRAL,511.91,USD,us
2022-05-01,PAID_SEARCH,1415.36,USD,us
2022-05-01,PAID_SOCIAL,2229.05,USD,us
2022-05-01,EMAIL,232.01,USD,us
2022-05-01,AFFILIATE,731.33,USD,us
2022-06-01,ORGANIC,341.56,USD,us
2022-06-01,REFERRAL,564.47,USD,us
2022-06-01,PAID_SEARCH,1816.84,USD,us
2022-06-01,PAID_SOCIAL,2058.33,USD,us
2022-06-01,EMAIL,213.05,USD,us
2022-06-01,AFFILIATE,773.18,USD,us
2022-07-01,ORGANIC,288.71,USD,us
2022-07-01,REFERRAL,407.43,USD,us
2022-07-01,PAID_SEARCH,1353.19,USD,us
2022-07-01,PAID_SOCIAL,1637.36,USD,us
2022-07-01,EMAIL,206.83,USD,us
2022-07-01,AFFILIATE,705.47,USD,us
2022-08-01,ORGANIC,259.28,USD,us
2022-08-01,REFERRAL,383.07,USD,us
2022-08-01,PAID_SEARCH,1931.47,USD,us
2022-08-01,PAID_SOCIAL,1704.3,USD,us
2022-08-01,EMAIL,226.17,USD,us
2022-08-01,AFFILIATE,609.31,USD,us
2022-09-01,ORGANIC,331.49,USD,us
2022-09-01,REFERRAL,532.16,USD,us
2022-09-01,PAID_SEARCH,1823.4,USD,us
2022-09-01,PAID_SOCIAL,1969.28,USD,us
2022-09-01,EMAIL,191.24,USD,us
2022-09-01,AFFILIATE,702.69,USD,us
2022-10-01,ORGANIC,287.14,USD,us
2022-10-01,REFERRAL,475.65,USD,us
2022-10-01,PAID_SEARCH,1720.53,USD,us
2022-10-01,PAID_SOCIAL,1958.34,USD,us
2022-10-01,EMAIL,265.11,USD,us
2022-10-01,AFFILIATE,664.11,USD,us
2022-11-01,ORGANIC,1051.61,USD,us
2022-11-01,REFERRAL,1927.56,USD,us
2022-11-01,PAID_SEARCH,5617.91,USD,us
2022-11-01,PAID_SOCIAL,6560.5,USD,us
2022-11-01,EMAIL,882.37,USD,us
2022-11-01,AFFILIATE,2731.26,USD,us
2022-12-01,ORGANIC,834.6,USD,us
