survey_id,customer_id,sent_at,response_at,score,nps_category
S-00000200,84,2019-06-30,,,
S-00000201,87,2019-06-30,2019-07-11,7,Passive
S-00000202,91,2019-06-30,,,
S-00000203,93,2019-06-30,,,
S-00000204,110,2019-06-30,2019-07-11,7,Passive
S-00000205,111,2019-06-30,,,
S-00000206,114,2019-06-30,,,
S-00000207,117,2019-06-30,2019-07-06,7,Passive
S-00000208,124,2019-06-30,,,
S-00000209,127,2019-06-30,,,
S-00000210,130,2019-06-30,,,
S-00000211,140,2019-06-30,,,
S-00000212,141,2019-06-30,,,
S-00000213,142,2019-06-30,2019-07-11,7,Passive
S-00000214,143,2019-06-30,2019-07-14,9,Promoter
S-00000215,147,2019-06-30,2019-07-12,8,Passive
S-00000216,149,2019-06-30,2019-07-03,4,Detractor
S-00000217,152,2019-06-30,,,
S-00000218,154,2019-06-30,2019-07-04,10,Promoter
S-00000219,160,2019-06-30,2019-07-09,8,Passive
S-00000220,164,2019-06-30,,,
S-00000221,166,2019-06-30,2019-07-10,7,Passive
S-00000222,170,2019-06-30,2019-07-11,6,Detractor
S-00000223,184,2019-06-30,,,
S-00000224,185,2019-06-30,,,
S-00000225,12,2019-09-30,2019-10-04,9,Promoter
S-00000226,20,2019-09-30,,,
S-00000227,27,2019-09-30,2019-10-06,7,Passive
S-00000228,30,2019-09-30,,,
S-00000229,31,2019-09-30,2019-10-08,0,Detractor
S-00000230,33,2019-09-30,2019-10-03,5,Detractor
S-00000231,39,2019-09-30,2019-10-12,6,Detractor
S-00000232,41,2019-09-30,,,
S-00000233,43,2019-09-30,,,
S-00000234,46,2019-09-30,2019-10-02,7,Passive
S-00000235,50,2019-09-30,2019-10-04,9,Promoter
S-00000236,54,2019-09-30,2019-10-12,6,Detractor
S-00000237,57,2019-09-30,2019-10-07,8,Passive
S-00000238,59,2019-09-30,2019-10-03,10,Promoter
S-00000239,71,2019-09-30,2019-10-13,3,Detractor
S-00000240,74,2019-09-30,2019-10-04,9,Promoter
S-00000241,81,2019-09-30,2019-10-03,6,Detractor
S-00000242,88,2019-09-30,,,
S-00000243,92,2019-09-30,2019-10-13,9,Promoter
S-00000244,94,2019-09-30,,,
S-00000245,96,2019-09-30,2019-10-05,10,Promoter
S-00000246,107,2019-09-30,2019-10-06,10,Promoter
S-00000247,108,2019-09-30,,,
S-00000248,112,2019-09-30,2019-10-06,9,Promoter
S-00000249,114,2019-09-30,2019-10-07,0,Detractor
S-00000250,115,2019-09-30,2019-10-06,8,Passive
S-00000251,122,2019-09-30,,,
S-00000252,129,2019-09-30,2019-10-08,3,Detractor
S-00000253,135,2019-09-30,,,
S-00000254,136,2019-09-30,,,
S-00000255,156,2019-09-30,,,
S-00000256,157,2019-09-30,,,
S-00000257,163,2019-09-30,2019-10-11,8,Passive
S-00000258,166,2019-09-30,2019-09-30,9,Promoter
S-00000259,170,2019-09-30,2019-10-04,8,Passive
S-00000260,172,2019-09-30,,,
S-00000261,177,2019-09-30,2019-10-05,5,Detractor
S-00000262,181,2019-09-30,,,
S-00000263,195,2019-09-30,,,
S-00000264,202,2019-09-30,,,
S-00000265,208,2019-09-30,2019-10-01,4,Detractor
S-00000266,220,2019-09-30,2019-10-04,5,Detractor
S-00000267,11,2019-12-31,2020-01-12,7,Passive
S-00000268,19,2019-12-31,2020-01-02,7,Passive
S-00000269,21,2019-12-31,2020-01-03,8,Passive
S-00000270,22,2019-12-31,2020-01-09,9,Promoter
S-00000271,23,2019-12-31,2020-01-03,7,Passive
S-00000272,30,2019-12-31,,,
S-00000273,34,2019-12-31,,,
S-00000274,37,2019-12-31,2020-01-06,10,Promoter
S-00000275,38,2019-12-31,2020-01-06,9,Promoter
S-00000276,39,2019-12-31,2020-01-05,7,Passive
S-00000277,51,2019-12-31,,,
S-00000278,54,2019-12-31,2020-01-12,10,Promoter
S-00000279,57,2019-12-31,,,
S-00000280,64,2019-12-31,2020-01-09,10,Promoter
S-00000281,71,2019-12-31,,,
S-00000282,73,2019-12-31,2020-01-09,8,Passive
S-00000283,75,2019-12-31,,,
S-00000284,79,2019-12-31,2020-01-11,10,Promoter
S-00000285,81,2019-12-31,2019-12-31,8,Passive
S-00000286,82,2019-12-31,,,
S-00000287,88,2019-12-31,2020-01-03,8,Passive
S-00000288,91,2019-12-31,2020-01-06,10,Promoter
S-00000289,94,2019-12-31,2020-01-04,9,Promoter
S-00000290,108,2019-12-31,,,
S-00000291,112,2019-12-31,2020-01-07,6,Detractor
S-00000292,118,2019-12-31,,,
S-00000293,126,2019-12-31,2020-01-04,10,Promoter
S-00000294,131,2019-12-31,2020-01-14,6,Detractor
S-00000295,140,2019-12-31,,,
S-00000296,143,2019-12-31,,,
S-00000297,146,2019-12-31,2020-01-08,10,Promoter
S-00000298,154,2019-12-31,2020-01-12,9,Promoter
S-00000299,160,2019-12-31,2020-01-12,3,Detractor
S-00000300,163,2019-12-31,2020-01-06,7,Passive
S-00000301,168,2019-12-31,,,
S-00000302,174,2019-12-31,2020-01-12,8,Passive
S-00000303,177,2019-12-31,,,
S-00000304,179,2019-12-31,2020-01-10,6,Detractor
S-00000305,181,2019-12-31,2020-01-10,8,Passive
S-00000306,182,2019-12-31,2020-01-05,8,Passive
S-00000307,183,2019-12-31,2020-01-03,7,Passive
S-00000308,188,2019-12-31,,,
S-00000309,198,2019-12-31,2020-01-09,6,Detractor
S-00000310,212,2019-12-31,,,
S-00000311,215,2019-12-31,,,
S-00000312,227,2019-12-31,,,
S-00000313,229,2019-12-31,,,
S-00000314,230,2019-12-31,2020-01-06,7,Passive
S-00000315,237,2019-12-31,2020-01-05,9,Promoter
S-00000316,244,2019-12-31,2020-01-05,9,Promoter
S-00000317,246,2019-12-31,,,
S-00000318,7,2020-03-31,2020-04-05,8,Passive
S-00000319,14,2020-03-31,2020-04-12,9,Promoter
S-00000320,15,2020-03-31,,,
S-00000321,19,2020-03-31,2020-04-03,10,Promoter
S-00000322,23,2020-03-31,2020-04-03,6,Detractor
S-00000323,29,2020-03-31,2020-04-08,10,Promoter
S-00000324,30,2020-03-31,2020-04-01,8,Passive
S-00000325,32,2020-03-31,2020-04-06,9,Promoter
S-00000326,33,2020-03-31,,,
S-00000327,35,2020-03-31,,,
S-00000328,40,2020-03-31,,,
S-00000329,44,2020-03-31,2020-04-06,4,Detractor
S-00000330,48,2020-03-31,2020-04-07,8,Passive
S-00000331,50,2020-03-31,2020-04-06,9,Promoter
S-00000332,59,2020-03-31,2020-04-01,8,Passive
S-00000333,60,2020-03-31,2020-04-14,9,Promoter
S-00000334,64,2020-03-31,2020-04-10,8,Passive
S-00000335,79,2020-03-31,2020-04-09,9,Promoter
S-00000336,80,2020-03-31,2020-04-12,6,Detractor
S-00000337,81,2020-03-31,,,
S-00000338,92,2020-03-31,,,
S-00000339,94,2020-03-31,2020-03-31,8,Passive
S-00000340,95,2020-03-31,2020-04-14,7,Passive
S-00000341,106,2020-03-31,2020-04-12,10,Promoter
S-00000342,107,2020-03-31,,,
S-00000343,109,2020-03-31,,,
S-00000344,114,2020-03-31,,,
S-00000345,115,2020-03-31,2020-04-04,9,Promoter
S-00000346,117,2020-03-31,2020-04-04,8,Passive
S-00000347,119,2020-03-31,,,
S-00000348,122,2020-03-31,,,
S-00000349,132,2020-03-31,2020-04-05,8,Passive
S-00000350,138,2020-03-31,2020-04-09,9,Promoter
S-00000351,147,2020-03-31,,,
S-00000352,149,2020-03-31,2020-04-12,8,Passive
S-00000353,151,2020-03-31,,,
S-00000354,154,2020-03-31,,,
S-00000355,162,2020-03-31,,,
S-00000356,175,2020-03-31,,,
S-00000357,182,2020-03-31,,,
S-00000358,183,2020-03-31,,,
S-00000359,184,2020-03-31,2020-04-11,10,Promoter
S-00000360,194,2020-03-31,,,
S-00000361,200,2020-03-31,2020-04-05,9,Promoter
S-00000362,207,2020-03-31,,,
S-00000363,211,2020-03-31,2020-04-04,7,Passive
S-00000364,214,2020-03-31,2020-04-09,7,Passive
S-00000365,229,2020-03-31,2020-04-06,9,Promoter
S-00000366,230,2020-03-31,,,
S-00000367,241,2020-03-31,,,
S-00000368,253,2020-03-31,,,
S-00000369,256,2020-03-31,,,
S-00000370,265,2020-03-31,,,
S-00000371,266,2020-03-31,,,
S-00000372,269,2020-03-31,2020-04-09,7,Passive
S-00000373,7,2020-06-30,2020-07-02,7,Passive
S-00000374,13,2020-06-30,,,
S-00000375,19,2020-06-30,2020-07-01,7,Passive
S-00000376,30,2020-06-30,2020-07-03,7,Passive
S-00000377,37,2020-06-30,,,
S-00000378,44,2020-06-30,,,
S-00000379,46,2020-06-30,,,
S-00000380,61,2020-06-30,,,
S-00000381,73,2020-06-30,2020-07-05,10,Promoter
S-00000382,76,2020-06-30,,,
S-00000383,77,2020-06-30,2020-07-03,10,Promoter
S-00000384,82,2020-06-30,,,
S-00000385,89,2020-06-30,,,
S-00000386,92,2020-06-30,,,
S-00000387,106,2020-06-30,2020-07-07,9,Promoter
S-00000388,109,2020-06-30,,,
S-00000389,113,2020-06-30,,,
S-00000390,115,2020-06-30,,,
S-00000391,119,2020-06-30,2020-07-10,6,Detractor
S-00000392,122,2020-06-30,,,
S-00000393,130,2020-06-30,,,
S-00000394,137,2020-06-30,2020-07-09,7,Passive
S-00000395,139,2020-06-30,,,
S-00000396,142,2020-06-30,2020-07-11,10,Promoter
S-00000397,153,2020-06-30,,,
S-00000398,156,2020-06-30,2020-07-09,8,Passive
S-00000399,164,2020-06-30,,,
S-00000400,183,2020-06-30,,,
S-00000401,201,2020-06-30,2020-07-12,9,Promoter
S-00000402,203,2020-06-30,2020-07-13,0,Detractor
S-00000403,212,2020-06-30,2020-07-10,4,Detractor
S-00000404,214,2020-06-30,,,
S-00000405,221,2020-06-30,2020-07-11,9,Promoter
S-00000406,224,2020-06-30,2020-07-04,6,Detractor
S-00000407,228,2020-06-30,,,
S-00000408,229,2020-06-30,,,
S-00000409,236,2020-06-30,,,
S-00000410,244,2020-06-30,2020-07-04,9,Promoter
S-00000411,249,2020-06-30,2020-07-06,10,Promoter
S-00000412,253,2020-06-30,,,
S-00000413,262,2020-06-30,2020-07-10,6,Detractor
S-00000414,267,2020-06-30,,,
S-00000415,273,2020-06-30,,,
S-00000416,279,2020-06-30,,,
S-00000417,283,2020-06-30,2020-07-02,9,Promoter
S-00000418,287,2020-06-30,,,
S-00000419,293,2020-06-30,,,
S-00000420,298,2020-06-30,,,
S-00000421,312,2020-06-30,2020-07-09,9,Promoter
S-00000422,2,2020-09-30,2020-10-06,10,Promoter
S-00000423,5,2020-09-30,,,
S-00000424,13,2020-09-30,2020-10-07,9,Promoter
S-00000425,15,2020-09-30,,,
S-00000426,20,2020-09-30,,,
S-00000427,34,2020-09-30,2020-10-14,9,Promoter
S-00000428,37,2020-09-30,2020-09-30,5,Detractor
S-00000429,48,2020-09-30,2020-10-11,7,Passive
S-00000430,57,2020-09-30,,,
S-00000431,59,2020-09-30,2020-10-02,5,Detractor
S-00000432,81,2020-09-30,,,
S-00000433,93,2020-09-30,2020-10-05,3,Detractor
S-00000434,107,2020-09-30,2020-10-09,8,Passive
S-00000435,114,2020-09-30,2020-10-06,2,Detractor
S-00000436,132,2020-09-30,2020-10-09,6,Detractor
S-00000437,136,2020-09-30,2020-09-30,8,Passive
S-00000438,137,2020-09-30,2020-10-02,7,Passive
S-00000439,152,2020-09-30,,,
S-00000440,153,2020-09-30,2020-10-13,4,Detractor
S-00000441,155,2020-09-30,,,
S-00000442,157,2020-09-30,,,
S-00000443,168,2020-09-30,,,
S-00000444,195,2020-09-30,2020-10-02,8,Passive
S-00000445,196,2020-09-30,2020-10-02,10,Promoter
S-00000446,197,2020-09-30,2020-10-01,7,Passive
S-00000447,199,2020-09-30,,,
S-00000448,203,2020-09-30,,,
S-00000449,206,2020-09-30,,,
S-00000450,225,2020-09-30,2020-10-10,6,Detractor
S-00000451,229,2020-09-30,,,
S-00000452,233,2020-09-30,,,
S-00000453,235,2020-09-30,,,
S-00000454,238,2020-09-30,,,
S-00000455,241,2020-09-30,2020-10-09,8,Passive
S-00000456,245,2020-09-30,2020-10-08,7,Passive
S-00000457,249,2020-09-30,2020-10-11,7,Passive
S-00000458,252,2020-09-30,2020-10-07,6,Detractor
S-00000459,253,2020-09-30,2020-09-30,4,Detractor
S-00000460,258,2020-09-30,2020-10-03,10,Promoter
S-00000461,260,2020-09-30,,,
S-00000462,262,2020-09-30,2020-10-09,3,Detractor
S-00000463,263,2020-09-30,2020-10-13,9,Promoter
S-00000464,265,2020-09-30,2020-10-08,7,Passive
S-00000465,274,2020-09-30,2020-10-02,7,Passive
S-00000466,277,2020-09-30,,,
S-00000467,280,2020-09-30,,,
S-00000468,283,2020-09-30,2020-10-02,9,Promoter
S-00000469,297,2020-09-30,,,
S-00000470,301,2020-09-30,,,
S-00000471,304,2020-09-30,,,
S-00000472,312,2020-09-30,2020-10-12,7,Passive
S-00000473,314,2020-09-30,2020-10-10,9,Promoter
S-00000474,323,2020-09-30,2020-10-05,10,Promoter
S-00000475,325,2020-09-30,,,
S-00000476,340,2020-09-30,,,
S-00000477,341,2020-09-30,,,
S-00000478,342,2020-09-30,,,
S-00000479,8,2020-12-31,2021-01-10,10,Promoter
S-00000480,15,2020-12-31,2021-01-08,9,Promoter
S-00000481,40,2020-12-31,2021-01-07,6,Detractor
S-00000482,43,2020-12-31,2021-01-01,10,Promoter
S-00000483,44,2020-12-31,,,
S-00000484,47,2020-12-31,,,
S-00000485,52,2020-12-31,2021-01-07,8,Passive
S-00000486,60,2020-12-31,2021-01-10,10,Promoter
S-00000487,64,2020-12-31,,,
S-00000488,68,2020-12-31,2021-01-02,9,Promoter
S-00000489,73,2020-12-31,,,
S-00000490,74,2020-12-31,2021-01-01,10,Promoter
S-00000491,77,2020-12-31,2021-01-03,7,Passive
S-00000492,80,2020-12-31,2021-01-13,9,Promoter
S-00000493,82,2020-12-31,,,
S-00000494,83,2020-12-31,,,
S-00000495,101,2020-12-31,,,
S-00000496,108,2020-12-31,2021-01-02,6,Detractor
S-00000497,114,2020-12-31,,,
S-00000498,116,2020-12-31,,,
S-00000499,119,2020-12-31,,,
S-00000500,138,2020-12-31,2021-01-09,9,Promoter
S-00000501,142,2020-12-31,,,
S-00000502,146,2020-12-31,,,
S-00000503,153,2020-12-31,2020-12-31,6,Detractor
S-00000504,155,2020-12-31,,,
S-00000505,156,2020-12-31,2020-12-31,8,Passive
S-00000506,162,2020-12-31,2021-01-02,6,Detractor
S-00000507,176,2020-12-31,2021-01-08,5,Detractor
S-00000508,177,2020-12-31,2021-01-03,6,Detractor
S-00000509,180,2020-12-31,2021-01-10,10,Promoter
S-00000510,183,2020-12-31,2021-01-04,8,Passive
S-00000511,198,2020-12-31,,,
S-00000512,202,2020-12-31,2021-01-05,8,Passive
S-00000513,217,2020-12-31,2021-01-10,4,Detractor
S-00000514,228,2020-12-31,,,
S-00000515,235,2020-12-31,2021-01-09,7,Passive
S-00000516,244,2020-12-31,,,
S-00000517,247,2020-12-31,2021-01-02,7,Passive
S-00000518,248,2020-12-31,2021-01-03,5,Detractor
S-00000519,251,2020-12-31,,,
S-00000520,266,2020-12-31,2021-01-03,5,Detractor
S-00000521,279,2020-12-31,,,
S-00000522,283,2020-12-31,2021-01-10,1,Detractor
S-00000523,297,2020-12-31,2021-01-06,4,Detractor
S-00000524,299,2020-12-31,,,
S-00000525,301,2020-12-31,,,
S-00000526,305,2020-12-31,,,
S-00000527,308,2020-12-31,2021-01-09,8,Passive
S-00000528,321,2020-12-31,2021-01-10,10,Promoter
S-00000529,322,2020-12-31,,,
S-00000530,323,2020-12-31,2021-01-07,9,Promoter
S-00000531,334,2020-12-31,2020-12-31,9,Promoter
S-00000532,337,2020-12-31,,,
S-00000533,341,2020-12-31,2021-01-13,8,Passive
S-00000534,342,2020-12-31,,,
S-00000535,343,2020-12-31,,,
S-00000536,345,2020-12-31,2021-01-06,6,Detractor
S-00000537,348,2020-12-31,,,
S-00000538,349,2020-12-31,,,
S-00000539,357,2020-12-31,2021-01-06,7,Passive
S-00000540,367,2020-12-31,,,
S-00000541,383,2020-12-31,,,
S-00000542,387,2020-12-31,,,
S-00000543,7,2021-03-31,2021-03-31,4,Detractor
S-00000544,10,2021-03-31,2021-04-07,6,Detractor
S-00000545,15,2021-03-31,,,
S-00000546,20,2021-03-31,2021-04-03,7,Passive
S-00000547,21,2021-03-31,,,
S-00000548,23,2021-03-31,,,
S-00000549,26,2021-03-31,,,
S-00000550,29,2021-03-31,2021-04-05,8,Passive
S-00000551,32,2021-03-31,,,
S-00000552,40,2021-03-31,,,
S-00000553,54,2021-03-31,,,
S-00000554,59,2021-03-31,,,
S-00000555,60,2021-03-31,,,
S-00000556,61,2021-03-31,2021-04-11,10,Promoter
S-00000557,69,2021-03-31,,,
S-00000558,76,2021-03-31,2021-04-12,7,Passive
S-00000559,81,2021-03-31,,,
S-00000560,82,2021-03-31,2021-04-14,0,Detractor
S-00000561,87,2021-03-31,2021-04-04,8,Passive
S-00000562,92,2021-03-31,2021-04-08,9,Promoter
S-00000563,95,2021-03-31,2021-04-09,8,Passive
S-00000564,106,2021-03-31,,,
S-00000565,111,2021-03-31,,,
S-00000566,113,2021-03-31,2021-04-09,7,Passive
S-00000567,119,2021-03-31,,,
S-00000568,137,2021-03-31,2021-04-06,6,Detractor
S-00000569,142,2021-03-31,2021-04-12,7,Passive
S-00000570,150,2021-03-31,,,
S-00000571,157,2021-03-31,2021-04-11,8,Passive
S-00000572,160,2021-03-31,2021-04-09,4,Detractor
S-00000573,163,2021-03-31,2021-04-11,8,Passive
S-00000574,166,2021-03-31,,,
S-00000575,174,2021-03-31,2021-04-12,10,Promoter
S-00000576,179,2021-03-31,2021-04-05,10,Promoter
S-00000577,185,2021-03-31,,,
S-00000578,194,2021-03-31,,,
S-00000579,204,2021-03-31,,,
S-00000580,210,2021-03-31,,,
S-00000581,214,2021-03-31,2021-04-10,9,Promoter
S-00000582,231,2021-03-31,,,
S-00000583,233,2021-03-31,,,
S-00000584,239,2021-03-31,,,
S-00000585,245,2021-03-31,,,
S-00000586,251,2021-03-31,,,
S-00000587,266,2021-03-31,2021-04-11,5,Detractor
S-00000588,271,2021-03-31,,,
