invoice_id,customer_id,store_id,order_date,ship_date,due_date,subtotal,discount_total,tax_amount,freight,grand_total,vat_rate,currency,payment_method,promotion_id,is_return,reference_invoice_id,n_lines
2-20161221-000030,2,103,2016-12-21,2016-12-22,2017-01-21,817.5,0.0,71.53,0.0,889.03,0.0875,USD,PayPal,,0,,3
2-20161230-000031,2,106,2016-12-30,2016-12-30,2017-01-29,106.0,21.2,7.42,0.0,92.22,0.0875,USD,Card,P-US-20161226-BOXING,0,,1
2-20170126-000032,2,101,2017-01-26,2017-01-29,2017-02-28,130.0,0.0,11.38,0.0,141.38,0.0875,USD,Card,,0,,2
2-20170129-000033,2,103,2017-01-29,2017-01-31,2017-03-02,844.0,0.0,73.85,0.0,917.85,0.0875,USD,Card,,0,,2
2-20170302-000034,2,102,2017-03-02,2017-03-05,2017-04-04,126.0,0.0,11.02,0.0,137.02,0.0875,USD,Cash,,0,,2
2-20170310-000035,2,103,2017-03-10,2017-03-11,2017-04-10,41.0,0.0,3.59,5.0,49.59,0.0875,USD,Card,,0,,2
2-20170312-000036,2,108,2017-03-12,2017-03-14,2017-04-13,63.0,0.0,5.51,0.0,68.51,0.0875,USD,Cash,,0,,2
2-20170318-000037,2,104,2017-03-18,2017-03-19,2017-04-18,33.0,0.0,2.89,5.0,40.89,0.0875,USD,Cash,,0,,1
2-20170424-000038,2,106,2017-04-24,2017-04-27,2017-05-27,402.5,0.0,35.22,0.0,437.72,0.0875,USD,PayPal,,0,,3
2-20170503-R000038,2,106,2017-05-03,2017-05-03,2017-05-03,-280.0,0.0,-24.5,-0.0,-304.5,0.0875,USD,PayPal,,1,2-20170424-000038,1
2-20170513-000039,2,104,2017-05-13,2017-05-14,2017-06-13,749.5,0.0,65.58,0.0,815.08,0.0875,USD,Card,,0,,1
2-20170619-000040,2,107,2017-06-19,2017-06-20,2017-07-20,384.5,87.48,25.99,0.0,323.01,0.0875,USD,Card,P-US-20170608-SUMMER,0,,3
2-20170630-000041,2,101,2017-06-30,2017-07-02,2017-08-01,871.5,0.0,76.26,0.0,947.76,0.0875,USD,Card,,0,,3
2-20170703-R000041,2,101,2017-07-03,2017-07-03,2017-07-03,-871.5,0.0,-76.26,-0.0,-947.76,0.0875,USD,Card,,1,2-20170630-000041,3
2-20170716-000042,2,102,2017-07-16,2017-07-16,2017-08-15,102.0,0.0,8.92,0.0,110.92,0.0875,USD,Cash,,0,,2
2-20170722-000043,2,108,2017-07-22,2017-07-24,2017-08-23,34.0,0.0,2.97,5.0,41.97,0.0875,USD,PayPal,,0,,2
2-20170914-000044,2,104,2017-09-14,2017-09-15,2017-10-15,781.5,0.0,68.38,0.0,849.88,0.0875,USD,PayPal,,0,,2
2-20170925-000045,2,106,2017-09-25,2017-09-25,2017-10-25,84.0,8.54,6.6,0.0,82.06,0.0875,USD,ApplePay,P-US-20170917-BACKT,0,,2
2-20171021-000046,2,106,2017-10-21,2017-10-22,2017-11-21,64.5,0.0,5.64,0.0,70.14,0.0875,USD,Card,,0,,1
2-20171029-000047,2,107,2017-10-29,2017-10-31,2017-11-30,85.0,0.0,7.44,0.0,92.44,0.0875,USD,Card,,0,,2
2-20171107-000048,2,102,2017-11-07,2017-11-08,2017-12-08,284.5,0.0,24.89,0.0,309.39,0.0875,USD,Card,,0,,1
2-20171108-000049,2,106,2017-11-08,2017-11-10,2017-12-10,76.0,0.0,6.65,0.0,82.65,0.0875,USD,ApplePay,,0,,2
2-20171125-000050,2,105,2017-11-25,2017-11-26,2017-12-26,761.5,228.45,46.64,0.0,579.69,0.0875,USD,Card,P-US-20171123-BLACK,0,,1
2-20171201-000051,2,101,2017-12-01,2017-12-04,2018-01-03,10.0,0.0,0.88,5.0,15.88,0.0875,USD,Card,,0,,1
2-20171221-000052,2,105,2017-12-21,2017-12-23,2018-01-22,778.5,0.0,68.12,0.0,846.62,0.0875,USD,Card,,0,,2
2-20171229-000053,2,103,2017-12-29,2017-12-29,2018-01-28,21.5,4.3,1.5,5.0,23.7,0.0875,USD,ApplePay,P-US-20171226-BOXING,0,,1
2-20180130-000054,2,108,2018-01-30,2018-02-02,2018-03-04,21.5,0.0,1.88,5.0,28.38,0.0875,USD,Cash,,0,,1
2-20180221-000055,2,105,2018-02-21,2018-02-23,2018-03-25,24.5,0.0,2.14,5.0,31.64,0.0875,USD,PayPal,,0,,1
2-20180227-000056,2,107,2018-02-27,2018-03-02,2018-04-01,17.0,0.0,1.49,5.0,23.49,0.0875,USD,Card,,0,,1
2-20180408-000057,2,101,2018-04-08,2018-04-08,2018-05-08,33.0,0.0,2.89,5.0,40.89,0.0875,USD,Card,,0,,1
2-20180429-000058,2,107,2018-04-29,2018-04-29,2018-05-29,96.0,0.0,8.4,0.0,104.4,0.0875,USD,Card,,0,,3
2-20180504-000059,2,102,2018-05-04,2018-05-07,2018-06-06,55.0,0.0,4.81,0.0,59.81,0.0875,USD,Card,,0,,2
2-20180508-000060,2,104,2018-05-08,2018-05-09,2018-06-08,76.5,0.0,6.69,0.0,83.19,0.0875,USD,PayPal,,0,,2
2-20180522-000061,2,103,2018-05-22,2018-05-22,2018-06-21,172.0,0.0,15.05,0.0,187.05,0.0875,USD,Card,,0,,2
2-20180601-000062,2,103,2018-06-01,2018-06-02,2018-07-02,939.0,0.0,82.16,0.0,1021.16,0.0875,USD,COD,,0,,3
2-20180626-R000062,2,103,2018-06-26,2018-06-26,2018-06-26,-166.0,0.0,-14.52,-0.0,-180.52,0.0875,USD,COD,,1,2-20180601-000062,2
2-20180623-000063,2,105,2018-06-23,2018-06-26,2018-07-26,16.5,0.0,1.44,5.0,22.94,0.0875,USD,PayPal,,0,,1
2-20180723-000064,2,104,2018-07-23,2018-07-26,2018-08-25,427.0,0.0,37.36,0.0,464.36,0.0875,USD,ApplePay,,0,,2
2-20180808-000065,2,101,2018-08-08,2018-08-08,2018-09-07,68.0,0.0,5.95,0.0,73.95,0.0875,USD,Card,,0,,1
2-20180816-000066,2,108,2018-08-16,2018-08-16,2018-09-15,113.5,0.0,9.93,0.0,123.43,0.0875,USD,ApplePay,,0,,2
2-20180821-000067,2,108,2018-08-21,2018-08-21,2018-09-20,105.0,0.0,9.19,0.0,114.19,0.0875,USD,Cash,,0,,1
2-20180902-000068,2,108,2018-09-02,2018-09-05,2018-10-05,71.5,0.0,6.26,0.0,77.76,0.0875,USD,Card,,0,,2
2-20180930-000069,2,101,2018-09-30,2018-10-01,2018-10-31,68.5,0.0,5.99,0.0,74.49,0.0875,USD,Cash,,0,,1
2-20181013-000070,2,107,2018-10-13,2018-10-13,2018-11-12,22.0,0.0,1.92,5.0,28.92,0.0875,USD,Cash,,0,,1
2-20181019-000071,2,104,2018-10-19,2018-10-21,2018-11-20,258.0,0.0,22.57,0.0,280.57,0.0875,USD,Card,,0,,3
2-20181025-000072,2,102,2018-10-25,2018-10-27,2018-11-26,870.0,0.0,76.12,0.0,946.12,0.0875,USD,Card,,0,,4
2-20181028-000073,2,102,2018-10-28,2018-10-29,2018-11-28,38.5,0.0,3.37,5.0,46.87,0.0875,USD,Card,,0,,2
2-20181105-000074,2,108,2018-11-05,2018-11-05,2018-12-05,84.0,0.0,7.35,0.0,91.35,0.0875,USD,Card,,0,,3
2-20181107-000075,2,108,2018-11-07,2018-11-10,2018-12-10,25.5,0.0,2.23,5.0,32.73,0.0875,USD,Card,,0,,1
2-20181119-R000075,2,108,2018-11-19,2018-11-19,2018-11-19,-25.5,0.0,-2.23,-5.0,-32.73,0.0875,USD,Card,,1,2-20181107-000075,1
2-20181206-000076,2,105,2018-12-06,2018-12-09,2019-01-08,803.0,0.0,70.26,0.0,873.26,0.0875,USD,PayPal,,0,,2
2-20181207-000077,2,101,2018-12-07,2018-12-10,2019-01-09,22.0,0.0,1.92,5.0,28.92,0.0875,USD,Cash,,0,,1
2-20181225-000078,2,104,2018-12-25,2018-12-27,2019-01-26,32.0,0.0,2.8,5.0,39.8,0.0875,USD,ApplePay,,0,,1
2-20181230-000079,2,101,2018-12-30,2019-01-01,2019-01-31,57.5,11.5,4.02,5.0,55.02,0.0875,USD,Card,P-US-20181226-BOXING,0,,3
2-20190112-000080,2,108,2019-01-12,2019-01-14,2019-02-13,112.5,0.0,9.84,0.0,122.34,0.0875,USD,Card,,0,,1
2-20190124-000081,2,101,2019-01-24,2019-01-25,2019-02-24,157.0,35.13,10.66,0.0,132.53,0.0875,USD,Card,P-US-20190118-ENDOF,0,,2
2-20190204-000082,2,104,2019-02-04,2019-02-04,2019-03-06,184.0,0.0,16.1,0.0,200.1,0.0875,USD,Card,,0,,2
2-20190206-000083,2,103,2019-02-06,2019-02-06,2019-03-08,211.5,0.0,18.51,0.0,230.01,0.0875,USD,Card,,0,,3
2-20190208-000084,2,104,2019-02-08,2019-02-11,2019-03-13,217.5,0.0,19.03,0.0,236.53,0.0875,USD,Transfer,,0,,2
2-20190326-000085,2,105,2019-03-26,2019-03-26,2019-04-25,70.0,11.38,5.13,0.0,63.75,0.0875,USD,Card,P-US-20190321-SPRING,0,,2
2-20190328-000086,2,105,2019-03-28,2019-03-28,2019-04-27,314.5,51.11,23.05,0.0,286.44,0.0875,USD,Card,P-US-20190321-SPRING,0,,2
2-20190510-000087,2,107,2019-05-10,2019-05-12,2019-06-11,76.0,0.0,6.65,0.0,82.65,0.0875,USD,Card,,0,,1
2-20190515-000088,2,105,2019-05-15,2019-05-17,2019-06-16,32.0,0.0,2.8,5.0,39.8,0.0875,USD,Card,,0,,1
2-20190529-000089,2,104,2019-05-29,2019-06-01,2019-07-01,137.0,0.0,11.99,0.0,148.99,0.0875,USD,Transfer,,0,,2
2-20190605-000090,2,108,2019-06-05,2019-06-08,2019-07-08,10.5,0.0,0.92,5.0,16.42,0.0875,USD,Card,,0,,1
2-20190611-000091,2,107,2019-06-11,2019-06-11,2019-07-11,45.0,0.0,3.94,5.0,53.94,0.0875,USD,PayPal,,0,,1
2-20190711-R000091,2,107,2019-07-11,2019-07-11,2019-07-11,-45.0,0.0,-3.94,-5.0,-53.94,0.0875,USD,PayPal,,1,2-20190611-000091,1
2-20190612-000092,2,106,2019-06-12,2019-06-14,2019-07-14,113.5,0.0,9.93,0.0,123.43,0.0875,USD,Cash,,0,,1
2-20190616-000093,2,105,2019-06-16,2019-06-16,2019-07-16,25.5,0.0,2.23,5.0,32.73,0.0875,USD,Cash,,0,,1
2-20190617-000094,2,104,2019-06-17,2019-06-17,2019-07-17,10.5,0.0,0.92,5.0,16.42,0.0875,USD,Transfer,,0,,1
2-20190809-000095,2,105,2019-08-09,2019-08-11,2019-09-10,1215.0,0.0,106.31,0.0,1321.31,0.0875,USD,Card,,0,,2
2-20190818-000096,2,106,2019-08-18,2019-08-20,2019-09-19,863.5,0.0,75.56,0.0,939.06,0.0875,USD,COD,,0,,3
2-20190830-000097,2,107,2019-08-30,2019-09-01,2019-10-01,32.0,0.0,2.8,5.0,39.8,0.0875,USD,PayPal,,0,,1
2-20190902-000098,2,106,2019-09-02,2019-09-03,2019-10-03,49.0,0.0,4.29,5.0,58.29,0.0875,USD,Card,,0,,2
2-20190911-000099,2,104,2019-09-11,2019-09-12,2019-10-12,22.5,2.14,1.78,5.0,27.14,0.0875,USD,Card,P-US-20190910-BACKT,0,,1
2-20190922-000100,2,108,2019-09-22,2019-09-24,2019-10-24,157.0,0.0,13.74,0.0,170.74,0.0875,USD,Card,,0,,4
2-20190924-000101,2,102,2019-09-24,2019-09-27,2019-10-27,18.0,0.0,1.57,5.0,24.57,0.0875,USD,Transfer,,0,,1
2-20191007-R000101,2,102,2019-10-07,2019-10-07,2019-10-07,-18.0,0.0,-1.57,-5.0,-24.57,0.0875,USD,Transfer,,1,2-20190924-000101,1
2-20191018-000102,2,104,2019-10-18,2019-10-18,2019-11-17,99.0,0.0,8.66,0.0,107.66,0.0875,USD,Card,,0,,2
2-20191029-000103,2,104,2019-10-29,2019-10-29,2019-11-28,69.0,0.0,6.04,0.0,75.04,0.0875,USD,Card,,0,,2
2-20191103-000104,2,106,2019-11-03,2019-11-06,2019-12-06,439.0,0.0,38.41,0.0,477.41,0.0875,USD,PayPal,,0,,2
2-20191208-000105,2,105,2019-12-08,2019-12-11,2020-01-10,104.5,0.0,9.14,0.0,113.64,0.0875,USD,Card,,0,,2
2-20191215-000106,2,101,2019-12-15,2019-12-15,2020-01-14,40.0,0.0,3.5,5.0,48.5,0.0875,USD,Card,,0,,2
2-20191222-000107,2,102,2019-12-22,2019-12-24,2020-01-23,80.0,0.0,7.0,0.0,87.0,0.0875,USD,Card,,0,,2
2-20191225-000108,2,104,2019-12-25,2019-12-25,2020-01-24,69.0,0.0,6.04,0.0,75.04,0.0875,USD,Card,,0,,2
2-20191229-000109,2,102,2019-12-29,2019-12-29,2020-01-28,249.5,49.9,17.46,0.0,217.06,0.0875,USD,Card,P-US-20191226-BOXING,0,,2
2-20200408-000110,2,105,2020-04-08,2020-04-09,2020-05-09,11.5,0.0,1.01,5.0,17.51,0.0875,USD,COD,,0,,1
2-20200521-000111,2,105,2020-05-21,2020-05-21,2020-06-20,26.5,0.0,2.32,5.0,33.82,0.0875,USD,ApplePay,,0,,1
2-20200523-000112,2,102,2020-05-23,2020-05-25,2020-06-24,17.5,0.0,1.53,5.0,24.03,0.0875,USD,Cash,,0,,1
2-20200524-000113,2,104,2020-05-24,2020-05-25,2020-06-24,91.0,0.0,7.96,0.0,98.96,0.0875,USD,Card,,0,,2
2-20200622-000114,2,104,2020-06-22,2020-06-25,2020-07-25,60.5,11.98,4.25,5.0,57.77,0.0875,USD,PayPal,P-US-20200614-SUMMER,0,,2
2-20200804-000115,2,103,2020-08-04,2020-08-04,2020-09-03,26.5,0.0,2.32,5.0,33.82,0.0875,USD,Card,,0,,1
2-20200814-000116,2,104,2020-08-14,2020-08-16,2020-09-15,23.5,0.0,2.06,5.0,30.56,0.0875,USD,Card,,0,,1
2-20200822-000117,2,106,2020-08-22,2020-08-25,2020-09-24,18.5,0.0,1.62,5.0,25.12,0.0875,USD,Cash,,0,,1
2-20200916-000118,2,105,2020-09-16,2020-09-19,2020-10-19,108.5,0.0,9.49,0.0,117.99,0.0875,USD,Cash,,0,,3
2-20200918-000119,2,108,2020-09-18,2020-09-19,2020-10-19,1857.0,0.0,162.49,0.0,2019.49,0.0875,USD,Card,,0,,1
2-20201102-000120,2,106,2020-11-02,2020-11-05,2020-12-05,1266.0,0.0,110.77,0.0,1376.77,0.0875,USD,Card,,0,,5
2-20201115-000121,2,103,2020-11-15,2020-11-18,2020-12-18,91.5,0.0,8.01,0.0,99.51,0.0875,USD,Card,,0,,2
2-20201123-000122,2,101,2020-11-23,2020-11-25,2020-12-25,34.5,10.35,2.11,5.0,31.26,0.0875,USD,Cash,P-US-20201123-BLACK,0,,2
2-20201127-000123,2,107,2020-11-27,2020-11-30,2020-12-30,129.0,38.7,7.9,0.0,98.2,0.0875,USD,Cash,P-US-20201123-BLACK,0,,2
2-20201205-000124,2,102,2020-12-05,2020-12-07,2021-01-06,362.0,0.0,31.67,0.0,393.67,0.0875,USD,ApplePay,,0,,3
2-20201206-000125,2,102,2020-12-06,2020-12-08,2021-01-07,73.0,0.0,6.39,0.0,79.39,0.0875,USD,PayPal,,0,,1
2-20201207-000126,2,104,2020-12-07,2020-12-10,2021-01-09,879.5,0.0,76.96,0.0,956.46,0.0875,USD,Card,,0,,2
2-20201208-000127,2,107,2020-12-08,2020-12-09,2021-01-08,58.0,0.0,5.07,0.0,63.07,0.0875,USD,Card,,0,,2
2-20201223-000128,2,105,2020-12-23,2020-12-26,2021-01-25,48.0,0.0,4.2,5.0,57.2,0.0875,USD,Card,,0,,1
2-20201228-000129,2,108,2020-12-28,2020-12-30,2021-01-29,166.0,33.2,11.62,0.0,144.42,0.0875,USD,ApplePay,P-US-20201226-BOXING,0,,3
2-20210129-000130,2,106,2021-01-29,2021-01-30,2021-03-01,45.5,0.0,3.98,5.0,54.48,0.0875,USD,PayPal,,0,,2
2-20210131-000131,2,103,2021-01-31,2021-01-31,2021-03-02,216.0,0.0,18.9,0.0,234.9,0.0875,USD,Card,,0,,1
2-20210202-000132,2,103,2021-02-02,2021-02-05,2021-03-07,649.5,0.0,56.83,0.0,706.33,0.0875,USD,ApplePay,,0,,2
2-20210304-R000132,2,103,2021-03-04,2021-03-04,2021-03-04,-649.5,0.0,-56.83,-0.0,-706.33,0.0875,USD,ApplePay,,1,2-20210202-000132,2
2-20210223-000133,2,107,2021-02-23,2021-02-23,2021-03-25,871.0,0.0,76.21,0.0,947.21,0.0875,USD,Card,,0,,2
2-20210228-000134,2,102,2021-02-28,2021-03-01,2021-03-31,912.0,0.0,79.8,0.0,991.8,0.0875,USD,Card,,0,,2
2-20210327-000135,2,106,2021-03-27,2021-03-30,2021-04-29,62.0,7.92,4.73,0.0,58.81,0.0875,USD,Card,P-US-20210319-SPRING,0,,2
2-20210409-000136,2,103,2021-04-09,2021-04-09,2021-05-09,217.5,0.0,19.03,0.0,236.53,0.0875,USD,Cash,,0,,1
2-20210514-000137,2,104,2021-05-14,2021-05-15,2021-06-14,48.0,0.0,4.2,5.0,57.2,0.0875,USD,Card,,0,,2
2-20210524-000138,2,101,2021-05-24,2021-05-27,2021-06-26,892.0,0.0,78.05,0.0,970.05,0.0875,USD,Cash,,0,,2
2-20210527-000139,2,104,2021-05-27,2021-05-29,2021-06-28,1022.0,0.0,89.42,0.0,1111.42,0.0875,USD,Card,,0,,2
2-20210602-000140,2,103,2021-06-02,2021-06-03,2021-07-03,72.0,0.0,6.3,0.0,78.3,0.0875,USD,Cash,,0,,1
2-20210607-000141,2,103,2021-06-07,2021-06-09,2021-07-09,48.0,0.0,4.2,5.0,57.2,0.0875,USD,COD,,0,,1
2-20210626-000142,2,102,2021-06-26,2021-06-29,2021-07-29,96.5,18.66,6.81,0.0,84.65,0.0875,USD,PayPal,P-US-20210612-SUMMER,0,,3
2-20210701-000143,2,105,2021-07-01,2021-07-03,2021-08-02,55.0,0.0,4.81,0.0,59.81,0.0875,USD,Card,,0,,3
2-20210713-000144,2,106,2021-07-13,2021-07-16,2021-08-15,1585.0,0.0,138.69,0.0,1723.69,0.0875,USD,Card,,0,,2
2-20210723-000145,2,101,2021-07-23,2021-07-23,2021-08-22,168.0,0.0,14.7,0.0,182.7,0.0875,USD,Card,,0,,2
2-20210727-000146,2,105,2021-07-27,2021-07-29,2021-08-28,146.0,0.0,12.77,0.0,158.77,0.0875,USD,Cash,,0,,1
2-20210814-000147,2,104,2021-08-14,2021-08-16,2021-09-15,27.5,0.0,2.41,5.0,34.91,0.0875,USD,COD,,0,,1
2-20210820-000148,2,102,2021-08-20,2021-08-23,2021-09-22,68.0,0.0,5.95,0.0,73.95,0.0875,USD,COD,,0,,1
2-20210910-000149,2,101,2021-09-10,2021-09-11,2021-10-11,120.0,0.0,10.5,0.0,130.5,0.0875,USD,PayPal,,0,,4
2-20211001-000150,2,102,2021-10-01,2021-10-01,2021-10-31,97.0,0.0,8.49,0.0,105.49,0.0875,USD,PayPal,,0,,3
2-20211025-000151,2,102,2021-10-25,2021-10-25,2021-11-24,967.5,0.0,84.66,0.0,1052.16,0.0875,USD,Card,,0,,3
2-20211103-000152,2,101,2021-11-03,2021-11-04,2021-12-04,96.0,0.0,8.4,0.0,104.4,0.0875,USD,COD,,0,,1
2-20211108-000153,2,104,2021-11-08,2021-11-08,2021-12-08,17.5,0.0,1.53,5.0,24.03,0.0875,USD,Transfer,,0,,1
2-20211112-000154,2,103,2021-11-12,2021-11-13,2021-12-13,24.0,0.0,2.1,5.0,31.1,0.0875,USD,Card,,0,,1
2-20211124-000155,2,104,2021-11-24,2021-11-25,2021-12-25,320.5,96.15,19.63,0.0,243.98,0.0875,USD,Card,P-US-20211123-BLACK,0,,1
2-20211129-000156,2,104,2021-11-29,2021-12-02,2022-01-01,12.0,3.6,0.73,5.0,14.13,0.0875,USD,Cash,P-US-20211123-BLACK,0,,1
2-20211205-000157,2,103,2021-12-05,2021-12-06,2022-01-05,360.0,0.0,31.5,0.0,391.5,0.0875,USD,Card,,0,,3
2-20211209-000158,2,108,2021-12-09,2021-12-10,2022-01-09,171.5,0.0,15.01,0.0,186.51,0.0875,USD,Card,,0,,3
2-20211215-000159,2,102,2021-12-15,2021-12-15,2022-01-14,1073.0,0.0,93.89,0.0,1166.89,0.0875,USD,Card,,0,,5
2-20211216-000160,2,101,2021-12-16,2021-12-16,2022-01-15,1058.0,0.0,92.57,0.0,1150.57,0.0875,USD,Card,,0,,4
2-20211217-000161,2,103,2021-12-17,2021-12-20,2022-01-19,57.0,0.0,4.99,0.0,61.99,0.0875,USD,Transfer,,0,,1
2-20211219-000162,2,105,2021-12-19,2021-12-20,2022-01-19,151.0,0.0,13.21,0.0,164.21,0.0875,USD,PayPal,,0,,3
2-20211222-R000162,2,105,2021-12-22,2021-12-22,2021-12-22,-151.0,0.0,-13.21,-0.0,-164.21,0.0875,USD,PayPal,,1,2-20211219-000162,3
2-20211220-000163,2,107,2021-12-20,2021-12-22,2022-01-21,126.5,0.0,11.07,0.0,137.57,0.0875,USD,COD,,0,,2
2-20211224-000164,2,101,2021-12-24,2021-12-25,2022-01-24,38.0,0.0,3.32,5.0,46.32,0.0875,USD,Card,,0,,1
2-20211224-000165,2,107,2021-12-24,2021-12-25,2022-01-24,99.5,0.0,8.71,0.0,108.21,0.0875,USD,Card,,0,,2
2-20211225-000166,2,102,2021-12-25,2021-12-25,2022-01-24,158.0,0.0,13.82,0.0,171.82,0.0875,USD,Card,,0,,3
2-20220108-000167,2,104,2022-01-08,2022-01-09,2022-02-08,28.0,0.0,2.45,5.0,35.45,0.0875,USD,Card,,0,,1
2-20220120-000168,2,101,2022-01-20,2022-01-22,2022-02-21,168.0,36.04,11.55,0.0,143.51,0.0875,USD,Card,P-US-20220119-ENDOF,0,,3
2-20220213-000169,2,103,2022-02-13,2022-02-15,2022-03-17,967.5,0.0,84.66,0.0,1052.16,0.0875,USD,COD,,0,,3
2-20220221-000170,2,107,2022-02-21,2022-02-23,2022-03-25,910.5,0.0,79.67,0.0,990.17,0.0875,USD,Transfer,,0,,3
2-20220301-000171,2,101,2022-03-01,2022-03-03,2022-04-02,75.5,0.0,6.61,0.0,82.11,0.0875,USD,Card,,0,,1
2-20220301-000172,2,106,2022-03-01,2022-03-04,2022-04-03,72.0,0.0,6.3,0.0,78.3,0.0875,USD,Card,,0,,2
