ticket_id,customer_id,invoice_id,channel,category,priority,opened_at,closed_at,resolution_hours,csat_score
T-00000080,266,266-20220118-000026,Phone,Delivery,Medium,2022-02-17,2022-02-17,8.18,4
T-00000081,268,268-20210416-000008,Chat,Setup help,Low,2021-04-28,2021-04-28,8.85,5
T-00000082,269,269-20200312-000001,Phone,Delivery,Low,2020-03-12,2020-03-13,24.24,4
T-00000083,269,269-20200328-000002,Email,Quality,Low,2020-04-21,2020-04-21,16.86,5
T-00000084,270,270-20200711-000009,Chat,Quality,Low,2020-08-05,2020-08-06,34.29,3
T-00000085,276,276-20220830-000002,Email,Delivery,Medium,2022-09-20,2022-09-20,13.35,4
T-00000086,286,286-20201109-000011,Phone,Quality,Medium,2020-11-27,2020-11-30,94.22,5
T-00000087,286,286-20200615-000004,Chat,Setup help,Low,2020-07-05,2020-07-05,10.03,5
T-00000088,291,291-20230603-000098,Chat,Billing,Medium,2023-07-01,2023-07-01,6.11,5
T-00000089,293,293-20200530-000004,Email,Delivery,High,2020-06-01,2020-06-01,22.39,4
T-00000090,295,295-20230403-000091,Chat,Return,Low,2023-04-30,2023-05-01,25.68,3
T-00000091,295,295-20210824-000032,Email,Delivery,Low,2021-09-13,2021-09-14,26.13,4
T-00000092,296,296-20230820-000063,Phone,Quality,High,2023-09-18,2023-09-18,7.83,3
T-00000093,298,298-20220501-000022,Email,Delivery,Low,2022-05-23,2022-05-23,12.93,4
T-00000094,299,299-20240927-000069,Phone,Return,Low,2024-10-15,2024-10-16,43.24,4
T-00000095,309,309-20240808-000138,Phone,Setup help,Low,2024-08-27,2024-08-27,4.6,5
T-00000096,311,311-20201110-000001,Chat,Delivery,Medium,2020-11-13,2020-11-13,11.3,4
T-00000097,321,321-20230214-000034,Email,Delivery,Medium,2023-02-22,2023-02-23,24.05,3
T-00000098,326,326-20211202-000031,Phone,Quality,Urgent,2021-12-06,2021-12-06,10.03,4
T-00000099,329,329-20200726-000002,Email,Setup help,Low,2020-08-05,2020-08-05,4.95,5
T-00000100,332,332-20240616-000083,Email,Quality,Low,2024-07-07,2024-07-08,47.57,5
T-00000101,332,332-20230221-000047,WhatsApp,Return,Low,2023-02-21,2023-02-22,40.53,4
T-00000102,335,335-20211202-000023,Chat,Other,Low,2021-12-12,2021-12-13,26.81,4
T-00000103,337,337-20220207-000029,Email,Quality,Medium,2022-03-06,2022-03-07,34.99,4
T-00000104,338,338-20250915-000088,Chat,Delivery,Medium,2025-10-03,2025-10-04,44.5,4
T-00000105,339,339-20250302-000167,Phone,Billing,Low,2025-03-24,2025-03-24,8.71,4
T-00000106,359,359-20251114-000087,Chat,Delivery,Low,2025-12-09,2025-12-09,7.06,5
T-00000107,359,359-20230422-000035,Email,Delivery,Low,2023-05-02,2023-05-05,77.77,4
T-00000108,367,367-20201105-000002,Phone,Delivery,Medium,2020-11-13,2020-11-13,22.34,5
T-00000109,376,376-20210710-000004,Email,Quality,Medium,2021-07-30,2021-07-30,3.65,5
T-00000110,380,380-20220512-000021,Email,Quality,Medium,2022-05-28,2022-05-28,14.38,3
T-00000111,380,380-20231121-000046,Email,Delivery,Medium,2023-12-09,2023-12-09,9.67,3
T-00000112,383,383-20250424-000076,Chat,Billing,Low,2025-04-26,2025-04-26,16.91,3
T-00000113,384,384-20210912-000001,Chat,Quality,Medium,2021-10-11,2021-10-11,20.86,4
T-00000114,391,391-20220306-000001,Email,Quality,Low,2022-03-29,2022-03-30,34.34,4
T-00000115,393,393-20211113-000019,Email,Delivery,Low,2021-11-22,2021-11-22,21.77,4
T-00000116,396,396-20210429-000001,Phone,Quality,Low,2021-05-22,2021-05-25,78.12,3
T-00000117,412,412-20220519-000012,Email,Delivery,Low,2022-05-31,2022-06-01,45.96,3
T-00000118,413,413-20220529-000016,Phone,Delivery,Low,2022-06-02,2022-06-02,16.45,4
T-00000119,413,413-20230428-000034,Email,Delivery,Medium,2023-05-14,2023-05-14,12.35,5
T-00000120,413,413-20221202-000027,Phone,Setup help,Low,2022-12-27,2022-12-27,8.6,2
T-00000121,431,431-20230525-000001,Email,Setup help,Low,2023-06-13,2023-06-13,8.51,3
T-00000122,433,433-20210805-000001,WhatsApp,Setup help,Low,2021-08-31,2021-08-31,3.49,4
T-00000123,440,440-20241013-000091,Phone,Quality,Low,2024-10-16,2024-10-16,11.84,4
T-00000124,451,451-20230201-000057,WhatsApp,Quality,Medium,2023-02-05,2023-02-06,40.68,4
T-00000125,457,457-20210526-000002,WhatsApp,Billing,High,2021-05-29,2021-05-29,4.6,3
T-00000126,460,460-20220120-000010,Email,Delivery,High,2022-01-24,2022-01-24,6.84,3
T-00000127,472,472-20241202-000130,Chat,Billing,Medium,2024-12-05,2024-12-05,4.6,4
T-00000128,472,472-20241109-000127,WhatsApp,Return,Low,2024-11-27,2024-11-29,49.26,4
T-00000129,480,480-20211207-000001,Chat,Delivery,High,2021-12-19,2021-12-20,29.25,3
T-00000130,480,480-20220322-000002,Phone,Account,High,2022-03-31,2022-03-31,4.64,3
T-00000131,482,482-20210805-000004,Chat,Quality,Medium,2021-08-17,2021-08-17,14.62,4
T-00000132,485,485-20220930-000010,Phone,Return,High,2022-10-11,2022-10-11,14.0,3
T-00000133,486,486-20210912-000004,Social,Quality,Low,2021-10-01,2021-10-02,33.32,4
T-00000134,489,489-20210907-000002,Phone,Delivery,Low,2021-09-08,2021-09-09,26.98,5
T-00000135,489,489-20220618-000013,Chat,Billing,Medium,2022-06-29,2022-06-29,9.22,3
T-00000136,490,490-20251025-000081,Phone,Delivery,Medium,2025-10-31,2025-10-31,18.87,4
T-00000137,494,494-20211111-000008,Email,Delivery,Low,2021-11-25,2021-11-25,14.56,4
T-00000138,499,499-20251109-000149,Phone,Return,High,2025-11-13,2025-11-13,4.5,3
T-00000139,507,507-20210919-000001,Chat,Delivery,High,2021-09-21,2021-09-21,6.73,4
T-00000140,511,511-20211021-000002,Chat,Return,Medium,2021-10-27,2021-10-27,22.39,4
T-00000141,511,511-20211206-000003,Email,Other,Low,2022-01-03,2022-01-04,36.45,5
T-00000142,511,511-20210823-000001,Phone,Return,Low,2021-09-13,2021-09-15,68.5,4
T-00000143,511,511-20220421-000005,WhatsApp,Other,Medium,2022-05-20,2022-05-20,13.43,4
T-00000144,513,513-20220403-000005,Email,Quality,Medium,2022-04-21,2022-04-22,37.3,4
T-00000145,514,514-20211031-000003,Email,Return,Low,2021-11-19,2021-11-20,31.47,4
T-00000146,516,516-20241114-000046,Email,Delivery,Low,2024-12-09,2024-12-11,66.85,4
T-00000147,517,517-20250912-000073,Chat,Quality,Medium,2025-10-11,2025-10-13,60.58,5
T-00000148,517,517-20231027-000028,Chat,Billing,Low,2023-11-18,2023-11-18,6.33,4
T-00000149,517,517-20220901-000007,Chat,Quality,Low,2022-09-12,2022-09-12,21.28,4
T-00000150,519,519-20240404-000046,Email,Delivery,Medium,2024-04-24,2024-04-24,6.54,3
T-00000151,520,520-20230108-000029,Chat,Billing,Low,2023-01-30,2023-01-30,13.74,4
T-00000152,520,520-20220509-000016,Email,Billing,Low,2022-05-16,2022-05-16,23.46,3
T-00000153,523,523-20250324-000056,Chat,Quality,Low,2025-04-23,2025-04-25,48.26,3
T-00000154,524,524-20211126-000007,Chat,Delivery,Low,2021-12-16,2021-12-17,43.19,4
T-00000155,524,524-20220324-000014,Email,Delivery,Low,2022-04-13,2022-04-13,18.67,5
T-00000156,526,526-20231101-000027,Email,Other,Low,2023-11-03,2023-11-03,13.49,5
T-00000157,527,527-20211003-000002,Email,Delivery,High,2021-10-14,2021-10-14,7.78,3
T-00000158,527,527-20211211-000007,Chat,Return,Low,2021-12-26,2021-12-26,16.85,4
T-00000159,527,527-20211121-000005,Phone,Return,Medium,2021-12-10,2021-12-11,34.6,4
T-00000160,530,530-20220707-000002,Chat,Quality,Medium,2022-07-14,2022-07-14,22.93,4
T-00000161,530,530-20211024-000001,Email,Delivery,Low,2021-11-21,2021-11-21,10.0,5
T-00000162,534,534-20211219-000002,Phone,Return,Low,2021-12-26,2021-12-31,128.1,3
T-00000163,538,538-20240214-000027,Chat,Account,Low,2024-03-01,2024-03-01,11.22,4
T-00000164,538,538-20230227-000010,Chat,Delivery,Medium,2023-03-07,2023-03-07,22.75,3
T-00000165,540,540-20220717-000007,Email,Billing,Low,2022-08-02,2022-08-02,11.22,4
T-00000166,540,540-20231218-000028,Phone,Billing,Low,2024-01-03,2024-01-03,21.9,3
T-00000167,543,543-20251121-000046,Phone,Account,Low,2025-11-28,2025-11-28,4.91,4
T-00000168,545,545-20221101-000028,Email,Return,Low,2022-11-10,2022-11-13,84.31,4
T-00000169,551,551-20211209-000002,Email,Delivery,High,2021-12-28,2021-12-28,8.31,3
T-00000170,560,560-20231020-000022,Chat,Return,Urgent,2023-11-10,2023-11-11,26.23,4
T-00000171,561,561-20230806-000041,Email,Other,High,2023-08-31,2023-08-31,8.65,4
T-00000172,566,566-20251206-000124,Email,Delivery,Low,2025-12-20,2025-12-21,38.27,5
T-00000173,567,567-20241119-000086,Email,Setup help,Low,2024-11-28,2024-11-28,4.63,5
T-00000174,567,567-20250929-000125,Email,Quality,Low,2025-10-07,2025-10-07,21.52,3
T-00000175,569,569-20221008-000012,Social,Quality,Low,2022-10-18,2022-10-20,64.22,4
T-00000176,579,579-20221203-000003,Email,Billing,Low,2022-12-27,2022-12-27,2.52,4
T-00000177,583,583-20231224-000021,Chat,Billing,Low,2024-01-15,2024-01-15,8.03,5
T-00000178,592,592-20250714-000049,Email,Delivery,Low,2025-08-11,2025-08-11,12.48,4
T-00000179,592,592-20250915-000053,Email,Billing,Medium,2025-10-01,2025-10-01,5.54,5
T-00000180,615,615-20221114-000007,Email,Return,Low,2022-12-11,2022-12-12,27.68,4
T-00000181,615,615-20230411-000013,Phone,Setup help,Medium,2023-05-06,2023-05-06,3.11,3
T-00000182,618,618-20221102-000001,Social,Return,Low,2022-11-21,2022-11-23,65.44,5
T-00000183,624,624-20230822-000012,Chat,Setup help,Low,2023-09-21,2023-09-21,21.07,4
T-00000184,628,628-20221213-000010,Email,Return,Low,2022-12-27,2022-12-30,88.93,4
T-00000185,628,628-20221211-000009,Email,Return,Medium,2022-12-26,2022-12-27,29.5,5
T-00000186,630,630-20240106-000004,Phone,Delivery,Medium,2024-02-01,2024-02-01,12.8,5
T-00000187,630,630-20230128-000002,Phone,Quality,Medium,2023-01-31,2023-01-31,9.3,3
T-00000188,631,631-20240603-000029,Email,Billing,Low,2024-06-19,2024-06-19,9.09,4
T-00000189,638,638-20231007-000038,Email,Return,Low,2023-11-01,2023-11-02,42.59,5
T-00000190,638,638-20241206-000076,Email,Setup help,Low,2024-12-28,2024-12-28,3.95,5
T-00000191,638,638-20251201-000117,Email,Account,High,2025-12-10,2025-12-10,8.17,5
T-00000192,643,643-20251030-000058,Chat,Quality,Medium,2025-11-23,2025-11-23,15.17,5
T-00000193,646,646-20230305-000007,Phone,Delivery,High,2023-03-23,2023-03-23,14.47,4
T-00000194,646,646-20230111-000006,Email,Billing,Low,2023-01-23,2023-01-24,36.39,2
T-00000195,655,655-20251217-000057,Phone,Return,Urgent,2025-12-24,2025-12-24,8.07,2
T-00000196,655,655-20231104-000018,Email,Delivery,Low,2023-11-18,2023-11-18,19.0,4
T-00000197,665,665-20230211-000013,Chat,Delivery,Low,2023-03-12,2023-03-13,24.56,4
T-00000198,671,671-20240726-000029,Email,Quality,Low,2024-08-17,2024-08-19,61.19,3
T-00000199,671,671-20250507-000043,Email,Delivery,Low,2025-05-13,2025-05-15,59.07,5
T-00000200,671,671-20240803-000030,Phone,Delivery,High,2024-08-10,2024-08-10,9.88,4
T-00000201,682,682-20240511-000019,Email,Setup help,Medium,2024-05-23,2024-05-23,4.71,4
T-00000202,686,686-20241211-000031,WhatsApp,Quality,Low,2025-01-02,2025-01-03,34.73,3
T-00000203,686,686-20250603-000039,Email,Quality,Low,2025-06-06,2025-06-06,17.64,2
T-00000204,696,696-20221122-000001,Chat,Account,Low,2022-12-04,2022-12-04,5.99,4
T-00000205,701,701-20231127-000002,Email,Quality,Medium,2023-12-10,2023-12-10,20.9,3
T-00000206,701,701-20221120-000001,Email,Billing,Low,2022-12-12,2022-12-12,12.11,4
T-00000207,701,701-20241019-000003,Phone,Delivery,Low,2024-11-11,2024-11-13,50.74,4
T-00000208,707,707-20240915-000021,Chat,Return,Low,2024-09-28,2024-09-30,60.18,4
T-00000209,710,710-20230603-000003,WhatsApp,Billing,Medium,2023-06-18,2023-06-18,6.08,4
T-00000210,714,714-20230321-000011,WhatsApp,Quality,Medium,2023-03-27,2023-03-27,10.18,4
T-00000211,716,716-20230602-000011,Chat,Delivery,Low,2023-06-09,2023-06-10,27.99,4
T-00000212,726,726-20250212-000040,Email,Other,Low,2025-02-22,2025-02-22,8.02,5
T-00000213,741,741-20241209-000054,Email,Billing,Low,2025-01-04,2025-01-04,12.42,5
T-00000214,742,742-20240221-000016,Email,Quality,Medium,2024-02-23,2024-02-23,3.05,3
T-00000215,742,742-20250824-000027,Chat,Return,Medium,2025-08-30,2025-08-31,42.65,3
T-00000216,743,743-20230526-000004,Chat,Quality,Low,2023-06-16,2023-06-17,24.26,5
T-00000217,756,756-20230710-000002,Chat,Setup help,Low,2023-07-19,2023-07-19,5.0,5
T-00000218,756,756-20241001-000037,Email,Delivery,Low,2024-10-19,2024-10-19,17.37,3
T-00000219,756,756-20230419-000001,WhatsApp,Delivery,Low,2023-04-22,2023-04-23,30.37,3
T-00000220,761,761-20231106-000014,Email,Delivery,Low,2023-11-08,2023-11-08,18.34,2
T-00000221,761,761-20230805-000007,Chat,Billing,Medium,2023-09-01,2023-09-01,6.49,4
T-00000222,769,769-20250105-000026,Email,Quality,High,2025-01-20,2025-01-20,8.85,3
T-00000223,770,770-20241216-000029,Email,Billing,Low,2024-12-23,2024-12-23,11.37,5
T-00000224,770,770-20240104-000014,Chat,Delivery,Low,2024-01-12,2024-01-12,21.23,4
T-00000225,770,770-20230815-000005,Email,Delivery,Medium,2023-08-19,2023-08-21,50.88,4
T-00000226,775,775-20240626-000011,Chat,Account,Low,2024-07-11,2024-07-11,15.58,5
T-00000227,780,780-20230824-000003,Chat,Delivery,Low,2023-08-31,2023-08-31,11.14,4
T-00000228,781,781-20240524-000004,Email,Other,Medium,2024-06-01,2024-06-01,11.52,4
T-00000229,787,787-20240705-000008,Phone,Quality,Low,2024-07-10,2024-07-10,22.71,3
T-00000230,787,787-20240729-000009,WhatsApp,Other,Low,2024-08-27,2024-08-27,15.42,5
T-00000231,789,789-20250613-000046,Chat,Billing,Low,2025-07-08,2025-07-08,1.94,3
T-00000232,795,795-20250321-000055,Phone,Delivery,Low,2025-03-23,2025-03-23,16.83,3
T-00000233,795,795-20251128-000085,Chat,Other,Medium,2025-11-29,2025-11-29,7.97,5
T-00000234,806,806-20240416-000020,Phone,Delivery,Low,2024-05-11,2024-05-12,36.64,4
T-00000235,809,809-20231109-000003,Email,Billing,Medium,2023-12-04,2023-12-04,6.65,3
T-00000236,809,809-20250514-000019,Chat,Quality,Low,2025-05-18,2025-05-18,15.49,5
T-00000237,811,811-20250210-000029,Chat,Return,Low,2025-03-11,2025-03-12,28.98,3
T-00000238,815,815-20241117-000021,Email,Delivery,Medium,2024-12-11,2024-12-11,13.77,3
T-00000239,815,815-20231211-000008,WhatsApp,Return,Low,2023-12-11,2023-12-17,158.23,4
T-00000240,815,815-20231104-000005,Chat,Billing,Low,2023-12-01,2023-12-01,20.18,3
T-00000241,818,818-20240517-000016,Chat,Delivery,Low,2024-06-03,2024-06-04,24.86,5
T-00000242,827,827-20251116-000064,Phone,Account,Low,2025-11-23,2025-11-23,17.41,5
T-00000243,827,827-20231011-000001,Email,Setup help,Urgent,2023-10-14,2023-10-14,0.82,3
T-00000244,827,827-20241008-000028,Email,Delivery,Low,2024-10-26,2024-10-27,24.38,3
T-00000245,829,829-20241209-000016,Email,Delivery,Medium,2024-12-13,2024-12-13,5.2,4
T-00000246,829,829-20240228-000004,Chat,Delivery,Low,2024-03-08,2024-03-10,53.36,3
T-00000247,831,831-20251023-000019,Chat,Quality,Low,2025-10-28,2025-10-31,94.63,4
T-00000248,840,840-20240804-000004,Chat,Quality,Low,2024-08-13,2024-08-14,32.14,4
T-00000249,845,845-20231213-000001,Email,Setup help,Low,2023-12-20,2023-12-20,1.85,5
T-00000250,851,851-20240313-000002,Email,Delivery,Low,2024-04-12,2024-04-13,32.3,5
T-00000251,851,851-20251201-000022,Email,Return,Low,2025-12-13,2025-12-17,96.84,4
T-00000252,868,868-20251020-000040,Email,Return,Low,2025-11-11,2025-11-12,47.39,4
T-00000253,872,872-20251112-000042,Email,Quality,Low,2025-11-17,2025-11-17,14.29,4
T-00000254,873,873-20241119-000009,Email,Quality,Low,2024-12-15,2024-12-16,27.67,4
T-00000255,875,875-20250330-000018,Chat,Other,Medium,2025-04-20,2025-04-20,10.0,5
T-00000256,875,875-20250115-000015,Email,Return,Low,2025-01-29,2025-02-04,150.69,4
T-00000257,876,876-20240403-000001,Chat,Delivery,Medium,2024-04-05,2024-04-05,13.02,4
T-00000258,876,876-20250112-000011,Phone,Delivery,High,2025-02-02,2025-02-02,6.42,3
T-00000259,881,881-20241226-000003,Chat,Billing,High,2025-01-15,2025-01-15,5.22,4
T-00000260,884,884-20250901-000012,Phone,Billing,Medium,2025-09-07,2025-09-07,15.48,5
T-00000261,889,889-20241218-000010,Email,Billing,High,2024-12-31,2024-12-31,4.18,4
T-00000262,900,900-20250909-000007,WhatsApp,Quality,Low,2025-10-07,2025-10-09,59.54,4
T-00000263,903,903-20241016-000001,Email,Account,Low,2024-11-14,2024-11-14,9.85,5
T-00000264,903,903-20241122-000003,Email,Setup help,Low,2024-11-25,2024-11-25,10.37,4
T-00000265,903,903-20241021-000002,Phone,Quality,Low,2024-10-29,2024-10-30,47.73,4
T-00000266,905,905-20250908-000025,Chat,Delivery,High,2025-09-24,2025-09-24,11.27,4
T-00000267,905,905-20250505-000017,Phone,Delivery,Low,2025-06-02,2025-06-03,39.1,5
T-00000268,905,905-20251111-000028,Chat,Quality,High,2025-11-13,2025-11-13,6.38,3
T-00000269,911,911-20250622-000015,Phone,Setup help,Medium,2025-07-21,2025-07-21,8.84,3
T-00000270,912,912-20250828-000007,Phone,Quality,High,2025-09-26,2025-09-27,25.25,3
T-00000271,914,914-20241129-000003,Chat,Quality,Low,2024-12-17,2024-12-17,16.86,4
T-00000272,923,923-20250324-000005,Phone,Setup help,Low,2025-04-09,2025-04-09,11.61,4
T-00000273,923,923-20250202-000002,Chat,Billing,Low,2025-02-20,2025-02-20,5.99,5
T-00000274,927,927-20250401-000005,Phone,Delivery,Low,2025-04-04,2025-04-06,49.91,3
T-00000275,929,929-20250501-000003,Email,Return,Medium,2025-05-21,2025-05-23,49.77,5
T-00000276,929,929-20250222-000002,Phone,Setup help,Low,2025-03-04,2025-03-04,4.57,5
T-00000277,931,931-20250810-000004,Chat,Return,Medium,2025-08-22,2025-08-25,85.72,4
T-00000278,936,936-20250728-000005,Email,Delivery,Medium,2025-08-16,2025-08-16,12.68,2
T-00000279,940,940-20250503-000002,Email,Return,Medium,2025-05-04,2025-05-05,25.62,4
T-00000280,941,941-20250930-000005,Phone,Delivery,Low,2025-10-14,2025-10-14,23.37,5
T-00000281,943,943-20251018-000011,Email,Quality,Low,2025-11-02,2025-11-03,39.96,5
T-00000282,944,944-20251103-000010,Email,Setup help,Medium,2025-11-24,2025-11-24,6.74,5
T-00000283,944,944-20250503-000001,Email,Quality,Low,2025-05-14,2025-05-14,22.19,4
T-00000284,964,964-20251218-000001,Email,Setup help,Low,2025-12-23,2025-12-23,5.75,4
